N|Acuraccy|Precision|Recall|F-Measure
1|1.0|1.0|1.0|1.0
2|1.0|1.0|1.0|1.0
4|1.0|1.0|1.0|1.0
6|1.0|1.0|1.0|1.0
8|1.0|1.0|1.0|1.0
11|0.875|1.0|0.85714287|0.9230769
15|0.7777778|1.0|0.75|0.85714287
16|0.8|1.0|0.75|0.85714287
19|0.8181818|1.0|0.7777778|0.875
20|0.75|1.0|0.7|0.82352936
22|0.7692308|1.0|0.72727275|0.84210527
23|0.71428573|1.0|0.6666667|0.8
24|0.73333335|1.0|0.6923077|0.8181818
25|0.75|1.0|0.71428573|0.8333334
26|0.7058824|1.0|0.6666667|0.8
32|0.7222222|1.0|0.6875|0.8148148
33|0.68421054|1.0|0.64705884|0.7857143
35|0.65|1.0|0.6111111|0.7586207
36|0.6666667|1.0|0.6111111|0.7586207
39|0.6818182|1.0|0.6111111|0.7586207
41|0.6956522|1.0|0.6111111|0.7586207
42|0.6666667|1.0|0.57894737|0.73333335
46|0.68|1.0|0.6|0.75
48|0.6923077|1.0|0.61904764|0.7647059
49|0.6666667|1.0|0.59090906|0.74285716
51|0.6785714|1.0|0.6086956|0.7567567
53|0.6551724|1.0|0.5833333|0.7368421
54|0.6666667|1.0|0.6|0.75
55|0.67741936|1.0|0.6|0.75
56|0.6875|1.0|0.61538464|0.76190484
58|0.6666667|1.0|0.5925926|0.74418604
59|0.6764706|1.0|0.60714287|0.7555555
60|0.6571429|1.0|0.5862069|0.73913044
61|0.6666667|1.0|0.6|0.75
62|0.6486486|1.0|0.58064514|0.7346939
63|0.65789473|1.0|0.58064514|0.7346939
69|0.6666667|1.0|0.59375|0.74509805
71|0.65|1.0|0.57575756|0.7307693
79|0.6585366|1.0|0.57575756|0.7307693
80|0.6666667|1.0|0.5882353|0.7407407
81|0.6744186|1.0|0.5882353|0.7407407
83|0.6818182|1.0|0.6|0.75
85|0.6888889|1.0|0.6111111|0.7586207
86|0.6956522|1.0|0.6216216|0.76666665
87|0.6956522|1.0|0.6216216|0.76666665
90|0.68085104|1.0|0.6052632|0.75409836
92|0.6875|1.0|0.61538464|0.76190484
93|0.6938776|1.0|0.625|0.7692308
94|0.6938776|1.0|0.625|0.7692308
95|0.7|1.0|0.63414633|0.7761194
97|0.7058824|1.0|0.64285713|0.78260875
98|0.6923077|1.0|0.627907|0.7714285
99|0.6981132|1.0|0.6363636|0.7777778
100|0.6851852|1.0|0.62222224|0.76712334
101|0.6909091|1.0|0.6304348|0.7733334
102|0.6964286|1.0|0.63829786|0.7792208
103|0.7017544|1.0|0.6458333|0.7848101
104|0.6896552|1.0|0.63265306|0.77500004
105|0.6779661|1.0|0.62|0.7654321
106|0.6666667|1.0|0.60784316|0.75609756
107|0.6721311|1.0|0.61538464|0.76190484
110|0.67741936|1.0|0.6226415|0.7674418
112|0.6825397|1.0|0.6296296|0.77272725
113|0.671875|1.0|0.6181818|0.76404494
114|0.6615385|0.9714286|0.6181818|0.75555557
115|0.6515151|0.9444444|0.6181818|0.74725276
116|0.6567164|0.9459459|0.625|0.75268817
120|0.6617647|0.94736844|0.6315789|0.75789475
121|0.6666667|0.94871795|0.63793105|0.76288664
123|0.6571429|0.925|0.63793105|0.75510204
128|0.6619718|0.9268293|0.6440678|0.76000005
129|0.6666667|0.9268293|0.6440678|0.76000005
130|0.6712329|0.9285714|0.65|0.7647059
131|0.6621622|0.9285714|0.6393443|0.75728154
132|0.6666667|0.9302326|0.6451613|0.7619047
133|0.65789473|0.9302326|0.63492066|0.754717
134|0.64935064|0.90909094|0.63492066|0.74766356
136|0.64102566|0.8888889|0.63492066|0.7407407
137|0.6329114|0.8888889|0.625|0.733945
138|0.6375|0.8913044|0.63076925|0.7387388
140|0.6375|0.8913044|0.63076925|0.7387388
141|0.6419753|0.89361703|0.6363636|0.74336284
142|0.64634144|0.8958333|0.64179105|0.7478261
143|0.6385542|0.8958333|0.63235295|0.74137926
144|0.64285713|0.8979592|0.6376812|0.74576277
146|0.63529414|0.8979592|0.62857145|0.7394958
148|0.627907|0.8979592|0.6197183|0.7333333
149|0.62068963|0.8979592|0.6111111|0.72727275
151|0.6136364|0.8979592|0.60273975|0.7213115
152|0.60674155|0.8979592|0.5945946|0.7154472
154|0.6|0.88|0.5945946|0.7096774
158|0.6043956|0.88235295|0.6|0.71428573
159|0.6086956|0.88461536|0.6052632|0.71875006
160|0.61290324|0.8867925|0.6103896|0.7230769
163|0.61702126|0.8888889|0.61538464|0.72727275
164|0.6210526|0.8909091|0.62025315|0.73134327
165|0.6145833|0.8909091|0.6125|0.7259259
167|0.6082474|0.8909091|0.60493827|0.72058827
168|0.6122449|0.89285713|0.6097561|0.7246376
169|0.61616164|0.8947368|0.61445785|0.7285714
170|0.62|0.8965517|0.61904764|0.7323944
171|0.62376237|0.89830506|0.62352943|0.7361111
172|0.627451|0.9|0.627907|0.73972607
173|0.63106793|0.90163934|0.6321839|0.7432433
174|0.63461536|0.9032258|0.6363636|0.74666667
175|0.63809526|0.9032258|0.6363636|0.74666667
176|0.6415094|0.9047619|0.64044946|0.75000006
177|0.635514|0.9047619|0.6333333|0.74509805
178|0.6388889|0.90625|0.63736266|0.74838704
179|0.64220184|0.9076923|0.6413044|0.7515924
180|0.6454545|0.9076923|0.6413044|0.7515924
181|0.6396396|0.9076923|0.6344086|0.7468354
184|0.6339286|0.9076923|0.62765956|0.7421384
185|0.63716817|0.9076923|0.62765956|0.7421384
186|0.63716817|0.9076923|0.62765956|0.7421384
187|0.6315789|0.8939394|0.62765956|0.73749995
188|0.6347826|0.8955224|0.6315789|0.7407407
189|0.62931037|0.88235295|0.6315789|0.73619634
191|0.62393165|0.88235295|0.625|0.7317073
192|0.62711865|0.884058|0.62886596|0.73493975
193|0.6302521|0.8857143|0.63265306|0.7380953
194|0.6333333|0.8873239|0.6363636|0.7411764
195|0.6363636|0.8888889|0.64|0.74418604
196|0.6393443|0.89041096|0.64356434|0.7471264
197|0.63414633|0.89041096|0.6372549|0.74285716
198|0.62903225|0.89041096|0.63106793|0.7386363
199|0.624|0.89041096|0.625|0.73446333
202|0.61904764|0.89041096|0.61904764|0.73033714
203|0.61417323|0.89041096|0.6132075|0.72625697
206|0.6171875|0.8918919|0.6168224|0.7292817
207|0.6124031|0.8918919|0.6111111|0.7252747
208|0.6076923|0.8918919|0.6055046|0.72131145
210|0.610687|0.8933333|0.6090909|0.72432435
211|0.6136364|0.8947368|0.6126126|0.7272727
212|0.6165413|0.8961039|0.6160714|0.73015875
214|0.6119403|0.8961039|0.6106195|0.7263158
217|0.6148148|0.8961039|0.6106195|0.7263158
218|0.6148148|0.8961039|0.6106195|0.7263158
219|0.61764705|0.8974359|0.61403507|0.7291666
220|0.620438|0.89873415|0.6173913|0.7319588
221|0.6231884|0.9|0.62068963|0.7346938
223|0.62589926|0.90123457|0.62393165|0.73737377
224|0.62857145|0.90123457|0.62393165|0.73737377
225|0.6312057|0.902439|0.62711865|0.73999995
227|0.62676054|0.902439|0.62184876|0.73631847
228|0.62237763|0.902439|0.6166667|0.7326733
229|0.62237763|0.902439|0.6166667|0.7326733
230|0.625|0.90361446|0.6198347|0.7352941
231|0.6275862|0.9047619|0.6229508|0.7378641
232|0.63013697|0.90588236|0.62601626|0.7403846
234|0.63265306|0.90697676|0.62903225|0.74285716
235|0.6351351|0.90804595|0.632|0.74528307
237|0.6375839|0.90909094|0.63492066|0.74766356
238|0.64|0.9101124|0.63779527|0.75000006
239|0.6423841|0.9111111|0.640625|0.7522936
240|0.6447368|0.9120879|0.64341086|0.7545454
241|0.64705884|0.9130435|0.64615387|0.7567568
243|0.64285713|0.9032258|0.64615387|0.75336325
244|0.64285713|0.9032258|0.64615387|0.75336325
247|0.63870966|0.9032258|0.64122134|0.74999994
248|0.63461536|0.9032258|0.6363636|0.74666667
249|0.6305733|0.89361703|0.6363636|0.74336284
251|0.62658226|0.8842105|0.6363636|0.7400881
252|0.6226415|0.875|0.6363636|0.7368421
253|0.61875|0.875|0.6315789|0.73362446
254|0.61490685|0.875|0.6268657|0.7304348
256|0.6111111|0.875|0.62222224|0.72727275
257|0.607362|0.875|0.61764705|0.7241379
258|0.6097561|0.875|0.61764705|0.7241379
259|0.6121212|0.875|0.61764705|0.7241379
262|0.6084337|0.875|0.6131387|0.72103006
263|0.61077845|0.87628865|0.615942|0.7234043
265|0.6130952|0.877551|0.61870503|0.72573835
267|0.60946745|0.877551|0.6142857|0.72268903
268|0.60588235|0.877551|0.6099291|0.7196652
270|0.60818714|0.8787879|0.6126761|0.7219918
271|0.60465115|0.8787879|0.6083916|0.71900827
272|0.6069364|0.8787879|0.6083916|0.71900827
274|0.6034483|0.87|0.6083916|0.7160494
275|0.60571426|0.87|0.6083916|0.7160494
281|0.60795456|0.8712871|0.6111111|0.71836734
282|0.6101695|0.872549|0.6137931|0.72064775
284|0.60674155|0.8640777|0.6137931|0.7177419
285|0.60335195|0.8640777|0.60958904|0.7148594
286|0.6|0.8640777|0.60544217|0.712
287|0.5966851|0.8640777|0.6013514|0.7091634
288|0.5934066|0.8640777|0.59731543|0.7063492
289|0.59562844|0.8640777|0.59731543|0.7063492
290|0.5923913|0.8640777|0.5933333|0.70355725
291|0.5891892|0.8640777|0.589404|0.70078737
292|0.5891892|0.8640777|0.589404|0.70078737
293|0.5913978|0.8640777|0.589404|0.70078737
294|0.5882353|0.8640777|0.5855263|0.6980392
295|0.5851064|0.8557692|0.5855263|0.6953125
296|0.58201057|0.84761906|0.5855263|0.692607
298|0.57894737|0.84761906|0.5816994|0.6899225
299|0.57591623|0.84761906|0.5779221|0.6872587
300|0.578125|0.8490566|0.58064514|0.6896551
301|0.5751295|0.8490566|0.5769231|0.6870229
302|0.57216495|0.8490566|0.5732484|0.68441063
303|0.5692308|0.8490566|0.56962025|0.6818182
304|0.5714286|0.85046726|0.572327|0.6842105
305|0.56852794|0.8425926|0.572327|0.6816479
306|0.56565654|0.8425926|0.56875|0.6791045
307|0.56281406|0.8348624|0.56875|0.67657995
308|0.565|0.8363636|0.5714286|0.6789668
309|0.5671642|0.8378378|0.5740741|0.6813187
310|0.5693069|0.83928573|0.5766871|0.68363637
311|0.5714286|0.84070796|0.5792683|0.6859206
313|0.5735294|0.84210527|0.58181816|0.688172
314|0.57560974|0.84347826|0.58433735|0.6903914
315|0.57281554|0.8362069|0.58433735|0.6879433
320|0.5748792|0.83760685|0.5868263|0.6901408
321|0.5769231|0.83898306|0.58928573|0.6923077
322|0.57894737|0.83898306|0.58928573|0.6923077
323|0.5809524|0.84033614|0.591716|0.6944445
324|0.5829384|0.84033614|0.591716|0.6944445
325|0.5849057|0.84166664|0.59411764|0.6965517
327|0.58215964|0.8347107|0.59411764|0.6941581
328|0.58411217|0.8360656|0.5964912|0.6962457
329|0.5860465|0.83739835|0.5988372|0.698305
330|0.5833333|0.83739835|0.5953757|0.695946
332|0.58064514|0.83739835|0.59195405|0.6936027
333|0.5825688|0.83870965|0.5942857|0.6956522
334|0.58447486|0.84|0.59659094|0.6976744
335|0.58447486|0.84|0.59659094|0.6976744
338|0.5863636|0.84126985|0.59887004|0.69966996
339|0.58371043|0.84126985|0.5955056|0.69736844
341|0.5855856|0.8425197|0.5977654|0.69934636
342|0.58744395|0.8425197|0.5977654|0.69934636
343|0.58928573|0.84375|0.6|0.7012987
344|0.5911111|0.8449612|0.6022099|0.70322573
349|0.59292036|0.84615386|0.6043956|0.7051282
351|0.59030837|0.84615386|0.6010929|0.7028753
352|0.59210527|0.84732825|0.6032609|0.70476186
353|0.59388644|0.8484849|0.6054054|0.70662457
354|0.59130436|0.8484849|0.60215056|0.7044025
356|0.5887446|0.8484849|0.5989305|0.7021944
359|0.5905172|0.84962404|0.60106385|0.7040498
360|0.59227467|0.8507463|0.6031746|0.7058824
361|0.5897436|0.84444445|0.6031746|0.7037037
363|0.587234|0.84444445|0.6|0.70153856
365|0.58898306|0.8455882|0.60209423|0.70336396
366|0.5907173|0.84671533|0.6041667|0.70516723
369|0.59243697|0.84782606|0.6062176|0.70694864
371|0.59414226|0.8489209|0.6082474|0.70870864
374|0.59583336|0.85|0.61025643|0.7104478
377|0.5975104|0.85|0.61025643|0.7104478
380|0.59504133|0.85|0.60714287|0.7083334
