N|Acuraccy|Precision|Recall|F-Measure
1|1.0|1.0|1.0|1.0
2|1.0|1.0|1.0|1.0
4|1.0|1.0|1.0|1.0
6|1.0|1.0|1.0|1.0
8|1.0|1.0|1.0|1.0
11|0.875|1.0|0.85714287|0.9230769
15|0.7777778|1.0|0.75|0.85714287
16|0.8|1.0|0.75|0.85714287
19|0.8181818|1.0|0.7777778|0.875
20|0.75|1.0|0.7|0.82352936
22|0.7692308|1.0|0.72727275|0.84210527
23|0.71428573|1.0|0.6666667|0.8
24|0.73333335|1.0|0.6923077|0.8181818
25|0.75|1.0|0.71428573|0.8333334
26|0.7058824|1.0|0.6666667|0.8
32|0.7222222|1.0|0.6875|0.8148148
33|0.68421054|1.0|0.64705884|0.7857143
35|0.65|1.0|0.6111111|0.7586207
36|0.6666667|1.0|0.6111111|0.7586207
39|0.6818182|1.0|0.6111111|0.7586207
41|0.65217394|1.0|0.57894737|0.73333335
42|0.625|1.0|0.55|0.70967746
46|0.64|1.0|0.5714286|0.72727275
48|0.65384614|1.0|0.59090906|0.74285716
49|0.6296296|1.0|0.5652174|0.7222222
51|0.64285713|1.0|0.5833333|0.7368421
53|0.62068963|1.0|0.56|0.71794873
54|0.6333333|1.0|0.5769231|0.7317073
55|0.6451613|1.0|0.5769231|0.7317073
56|0.65625|1.0|0.5925926|0.74418604
58|0.6363636|1.0|0.5714286|0.72727275
59|0.64705884|1.0|0.5862069|0.73913044
60|0.62857145|1.0|0.56666666|0.7234043
61|0.6388889|1.0|0.58064514|0.7346939
62|0.6216216|1.0|0.5625|0.72
63|0.6315789|1.0|0.5625|0.72
69|0.64102566|1.0|0.57575756|0.7307693
71|0.625|1.0|0.5588235|0.7169811
79|0.63414633|1.0|0.5588235|0.7169811
80|0.64285713|1.0|0.5714286|0.72727275
81|0.6511628|1.0|0.5714286|0.72727275
83|0.65909094|1.0|0.5833333|0.7368421
85|0.6666667|1.0|0.5945946|0.7457627
86|0.67391306|1.0|0.6052632|0.75409836
87|0.67391306|1.0|0.6052632|0.75409836
90|0.65957445|1.0|0.5897436|0.7419355
92|0.6666667|1.0|0.6|0.75
93|0.67346936|1.0|0.6097561|0.75757575
94|0.67346936|1.0|0.6097561|0.75757575
95|0.68|1.0|0.61904764|0.7647059
97|0.6862745|1.0|0.627907|0.7714285
98|0.6730769|1.0|0.6136364|0.7605634
99|0.6792453|1.0|0.62222224|0.76712334
100|0.6666667|1.0|0.6086956|0.7567567
101|0.6727273|1.0|0.61702126|0.76315784
102|0.6785714|1.0|0.625|0.7692308
103|0.68421054|1.0|0.63265306|0.77500004
104|0.67241377|1.0|0.62|0.7654321
105|0.66101694|1.0|0.60784316|0.75609756
106|0.65|1.0|0.59615386|0.74698794
107|0.6557377|1.0|0.6037736|0.7529412
110|0.66129035|1.0|0.6111111|0.7586207
112|0.6666667|1.0|0.6181818|0.76404494
113|0.65625|1.0|0.60714287|0.7555555
114|0.64615387|0.9714286|0.60714287|0.74725276
115|0.6363636|0.9444444|0.60714287|0.73913044
116|0.64179105|0.9459459|0.61403507|0.7446808
120|0.64705884|0.94736844|0.62068963|0.75
121|0.65217394|0.94871795|0.62711865|0.75510204
123|0.64285713|0.925|0.62711865|0.74747473
128|0.64788735|0.9268293|0.6333333|0.75247526
129|0.6527778|0.9268293|0.6333333|0.75247526
130|0.65753424|0.9285714|0.6393443|0.75728154
131|0.6486486|0.9285714|0.62903225|0.75000006
132|0.6533333|0.9302326|0.63492066|0.754717
133|0.6447368|0.9302326|0.625|0.7476636
134|0.64935064|0.9318182|0.63076925|0.7522935
136|0.64102566|0.9111111|0.63076925|0.7454546
137|0.6329114|0.9111111|0.6212121|0.7387387
138|0.6375|0.9130435|0.6268657|0.74336284
140|0.6375|0.9130435|0.6268657|0.74336284
141|0.6419753|0.9148936|0.63235295|0.7478261
142|0.64634144|0.9166667|0.6376812|0.75213677
143|0.6385542|0.9166667|0.62857145|0.74576277
144|0.64285713|0.9183673|0.63380283|0.75
146|0.63529414|0.9183673|0.625|0.7438016
148|0.627907|0.9183673|0.6164383|0.7377049
149|0.62068963|0.9183673|0.6081081|0.73170733
151|0.6136364|0.9183673|0.6|0.72580653
152|0.60674155|0.9183673|0.59210527|0.72
154|0.6|0.9|0.59210527|0.71428573
158|0.6043956|0.9019608|0.5974026|0.71874994
159|0.6086956|0.90384614|0.6025641|0.7230769
160|0.61290324|0.9056604|0.6075949|0.72727275
163|0.61702126|0.9074074|0.6125|0.7313432
164|0.6210526|0.90909094|0.61728394|0.73529416
165|0.6145833|0.90909094|0.6097561|0.729927
167|0.6082474|0.90909094|0.60240966|0.7246377
168|0.6122449|0.91071427|0.60714287|0.7285715
169|0.61616164|0.9122807|0.6117647|0.73239434
170|0.62|0.9137931|0.61627907|0.73611104
171|0.62376237|0.91525424|0.62068963|0.739726
172|0.627451|0.9166667|0.625|0.7432432
173|0.63106793|0.91803277|0.6292135|0.7466667
174|0.63461536|0.91935486|0.6333333|0.75
175|0.63809526|0.91935486|0.6333333|0.75
176|0.6415094|0.9206349|0.63736266|0.7532468
177|0.635514|0.9206349|0.6304348|0.7483871
178|0.6388889|0.921875|0.6344086|0.75159234
179|0.64220184|0.9230769|0.63829786|0.754717
180|0.6454545|0.9230769|0.63829786|0.754717
181|0.6396396|0.9230769|0.6315789|0.75000006
184|0.6339286|0.9230769|0.625|0.74534166
185|0.63716817|0.9230769|0.625|0.74534166
186|0.6315789|0.90909094|0.625|0.7407407
187|0.6347826|0.9104478|0.62886596|0.74390244
188|0.63793105|0.9117647|0.63265306|0.7469879
189|0.63247865|0.89855075|0.63265306|0.742515
191|0.62711865|0.89855075|0.6262626|0.7380952
192|0.6302521|0.9|0.63|0.7411764
193|0.6333333|0.90140843|0.63366336|0.74418604
194|0.6363636|0.9027778|0.6372549|0.74712646
195|0.6393443|0.9041096|0.6407767|0.74999994
196|0.6422764|0.9054054|0.6442308|0.75280905
197|0.63709676|0.9054054|0.63809526|0.74860334
198|0.632|0.9054054|0.6320755|0.7444445
199|0.6269841|0.9054054|0.62616825|0.74033153
202|0.62204725|0.9054054|0.6203704|0.73626375
203|0.6171875|0.9054054|0.6146789|0.73224044
206|0.62015504|0.9066667|0.6181818|0.7351352
207|0.61538464|0.9066667|0.6126126|0.7311828
208|0.610687|0.9066667|0.60714287|0.7272727
210|0.6136364|0.90789473|0.6106195|0.73015875
211|0.6165413|0.90909094|0.61403507|0.7329843
212|0.619403|0.9102564|0.6173913|0.7357513
214|0.62222224|0.9102564|0.6173913|0.7357513
217|0.625|0.9102564|0.6173913|0.7357513
218|0.620438|0.9102564|0.61206895|0.7319588
219|0.6231884|0.9113924|0.61538464|0.7346939
220|0.62589926|0.9125|0.61864406|0.7373737
221|0.62857145|0.91358024|0.62184876|0.74
223|0.6312057|0.91463417|0.625|0.7425742
224|0.63380283|0.91463417|0.625|0.7425742
225|0.6363636|0.91566265|0.6280992|0.7450981
227|0.6319444|0.91566265|0.6229508|0.74146336
228|0.6275862|0.91566265|0.6178862|0.7378641
229|0.6275862|0.91566265|0.6178862|0.7378641
230|0.63013697|0.9166667|0.62096775|0.74038464
231|0.63265306|0.91764706|0.624|0.7428572
232|0.6351351|0.9186047|0.6269841|0.74528307
234|0.6375839|0.9195402|0.62992126|0.74766356
235|0.64|0.92045456|0.6328125|0.75
237|0.6423841|0.92134833|0.6356589|0.7522935
238|0.6447368|0.9222222|0.63846153|0.75454545
239|0.64705884|0.9230769|0.64122134|0.7567568
240|0.64935064|0.92391306|0.6439394|0.75892854
241|0.6516129|0.9247312|0.6466165|0.7610619
243|0.65384614|0.9255319|0.6492537|0.7631579
244|0.6496815|0.9157895|0.6492537|0.75982535
247|0.6455696|0.9157895|0.64444447|0.75652176
248|0.6415094|0.9157895|0.6397059|0.7532468
249|0.6375|0.90625|0.6397059|0.75000006
251|0.6335404|0.8969072|0.6397059|0.7467811
252|0.6296296|0.8877551|0.6397059|0.7435897
253|0.6257669|0.8877551|0.63503647|0.7404255
254|0.6219512|0.8877551|0.6304348|0.7372881
256|0.6181818|0.8877551|0.62589926|0.7341772
257|0.61445785|0.8877551|0.62142855|0.7310924
258|0.61676645|0.8877551|0.62142855|0.7310924
259|0.61904764|0.8877551|0.62142855|0.7310924
262|0.61538464|0.8877551|0.61702126|0.7280335
263|0.61764705|0.8888889|0.6197183|0.7302905
265|0.61988306|0.89|0.62237763|0.7325103
267|0.61627907|0.89|0.6180556|0.7295082
268|0.61271673|0.89|0.6137931|0.7265307
270|0.6091954|0.8811881|0.6137931|0.7235772
271|0.60571426|0.8811881|0.60958904|0.72064775
272|0.60795456|0.8811881|0.60958904|0.72064775
274|0.6045198|0.872549|0.60958904|0.7177419
275|0.60674155|0.872549|0.60958904|0.7177419
281|0.6089386|0.8737864|0.6122449|0.71999997
282|0.6111111|0.875|0.6148649|0.72222227
284|0.6132597|0.8761905|0.61744964|0.72440946
285|0.6098901|0.8761905|0.61333334|0.72156864
286|0.60655737|0.8761905|0.6092715|0.71875006
287|0.6032609|0.8761905|0.6052632|0.7159533
288|0.6|0.8761905|0.6013072|0.7131783
289|0.5967742|0.8761905|0.5974026|0.7104247
290|0.59358287|0.8761905|0.59354836|0.7076923
291|0.59042555|0.8761905|0.5897436|0.7049809
292|0.5925926|0.8773585|0.5923567|0.70722437
293|0.5947368|0.8773585|0.5923567|0.70722437
294|0.591623|0.8773585|0.5886076|0.70454544
295|0.5885417|0.86915886|0.5886076|0.7018868
296|0.58549225|0.8611111|0.5886076|0.69924814
298|0.58247423|0.8611111|0.5849057|0.6966292
299|0.5794872|0.8611111|0.58125|0.6940298
300|0.5816327|0.86238533|0.5838509|0.6962963
301|0.5786802|0.86238533|0.5802469|0.69372696
302|0.57575756|0.86238533|0.5766871|0.6911765
303|0.5728643|0.86238533|0.5731707|0.68864465
304|0.575|0.8636364|0.57575756|0.690909
305|0.5721393|0.8558559|0.57575756|0.68840575
306|0.5693069|0.8558559|0.57228917|0.6859206
307|0.5714286|0.85714287|0.5748503|0.68817204
308|0.5686275|0.8495575|0.5748503|0.6857143
309|0.5707317|0.85087717|0.57738096|0.6879432
310|0.57281554|0.8521739|0.57988167|0.69014084
311|0.5748792|0.8534483|0.58235294|0.69230765
313|0.5769231|0.85470086|0.5847953|0.6944444
314|0.57894737|0.8559322|0.5872093|0.69655174
315|0.5761905|0.8487395|0.5872093|0.694158
320|0.578199|0.85|0.5895954|0.69624573
321|0.5801887|0.8512397|0.59195405|0.6983052
322|0.58215964|0.8512397|0.59195405|0.6983052
323|0.58411217|0.852459|0.5942857|0.7003367
324|0.5860465|0.852459|0.5942857|0.7003367
325|0.587963|0.85365856|0.59659094|0.7023412
327|0.5852535|0.8467742|0.59659094|0.7
328|0.58715594|0.848|0.59887004|0.7019867
329|0.5890411|0.8492063|0.6011236|0.70394737
330|0.5863636|0.8492063|0.5977654|0.7016394
332|0.58371043|0.8492063|0.59444445|0.6993464
333|0.5855856|0.8503937|0.5966851|0.7012987
334|0.58744395|0.8515625|0.5989011|0.70322585
335|0.58744395|0.8515625|0.5989011|0.70322585
338|0.58928573|0.85271317|0.6010929|0.7051282
339|0.58666664|0.85271317|0.59782606|0.7028754
341|0.58849555|0.85384613|0.6|0.70476186
342|0.5859031|0.85384613|0.5967742|0.70253164
343|0.5877193|0.8549618|0.5989305|0.7044025
344|0.5895197|0.8560606|0.60106385|0.7062501
349|0.59130436|0.85714287|0.6031746|0.7080745
351|0.5887446|0.85714287|0.6|0.70588243
352|0.5905172|0.85820895|0.60209423|0.7076923
353|0.59227467|0.85925925|0.6041667|0.70948017
354|0.5897436|0.85925925|0.60103625|0.70731705
356|0.587234|0.85925925|0.5979381|0.7051671
359|0.58898306|0.8602941|0.6|0.70694864
360|0.5907173|0.8613139|0.6020408|0.7087087
361|0.5907173|0.8613139|0.6020408|0.7087087
363|0.5882353|0.8613139|0.5989848|0.70658684
365|0.58995813|0.8623188|0.6010101|0.7083334
366|0.59166664|0.8633093|0.60301507|0.71005917
369|0.593361|0.8642857|0.605|0.71176475
371|0.59504133|0.8652482|0.6069652|0.71345025
374|0.5967078|0.86619717|0.6089109|0.71511626
377|0.59836066|0.86619717|0.6089109|0.71511626
