N|Acuraccy|Precision|Recall|F-Measure
1|0.6666667|0.5|1.0|0.6666667
2|0.75|0.6666667|1.0|0.8
3|0.8|0.75|1.0|0.85714287
4|0.8333333|0.8|1.0|0.88888896
5|0.85714287|0.8333333|1.0|0.90909094
6|0.875|0.85714287|1.0|0.9230769
8|0.8888889|0.875|1.0|0.93333334
9|0.9|0.8888889|1.0|0.94117653
10|0.8181818|0.8|1.0|0.88888896
11|0.8333333|0.8|1.0|0.88888896
12|0.84615386|0.8181818|1.0|0.90000004
13|0.78571427|0.75|1.0|0.85714287
15|0.8|0.75|1.0|0.85714287
17|0.8125|0.7692308|1.0|0.8695652
18|0.7647059|0.71428573|1.0|0.8333334
19|0.7222222|0.6666667|1.0|0.8
20|0.68421054|0.6666667|0.90909094|0.7692308
21|0.65|0.6666667|0.8333333|0.7407408
22|0.61904764|0.625|0.8333333|0.71428573
23|0.59090906|0.625|0.7692308|0.6896552
24|0.6086956|0.64705884|0.78571427|0.7096774
25|0.625|0.6666667|0.8|0.72727275
26|0.64|0.6666667|0.8|0.72727275
27|0.61538464|0.6666667|0.75|0.7058823
28|0.5925926|0.6666667|0.7058824|0.6857143
30|0.60714287|0.68421054|0.7222222|0.7027027
32|0.62068963|0.7|0.7368421|0.7179487
33|0.6|0.7|0.7|0.7
35|0.61290324|0.7|0.7|0.7
36|0.625|0.7|0.7|0.7
38|0.6363636|0.71428573|0.71428573|0.7142857
40|0.61764705|0.71428573|0.6818182|0.69767445
41|0.6|0.71428573|0.65217394|0.68181825
42|0.5833333|0.71428573|0.625|0.6666667
43|0.5945946|0.72727275|0.64|0.68085104
44|0.6052632|0.73913044|0.65384614|0.6938776
46|0.61538464|0.75|0.6666667|0.7058823
48|0.625|0.76|0.6785714|0.7169811
49|0.63414633|0.76|0.6785714|0.7169811
51|0.64285713|0.7692308|0.6896552|0.72727275
52|0.6511628|0.7777778|0.7|0.73684216
53|0.65909094|0.7777778|0.7|0.73684216
54|0.6666667|0.78571427|0.7096774|0.7457627
55|0.67391306|0.78571427|0.7096774|0.7457627
56|0.65957445|0.7586207|0.7096774|0.73333335
57|0.6458333|0.73333335|0.7096774|0.72131145
58|0.63265306|0.73333335|0.6875|0.7096774
59|0.64|0.7419355|0.6969697|0.71874994
60|0.64705884|0.7419355|0.6969697|0.71874994
61|0.63461536|0.71875|0.6969697|0.70769227
62|0.6226415|0.71875|0.6764706|0.69696975
63|0.6296296|0.71875|0.6764706|0.69696975
64|0.6363636|0.72727275|0.6857143|0.70588243
66|0.64285713|0.72727275|0.6857143|0.70588243
67|0.64912283|0.7352941|0.6944444|0.71428573
68|0.6551724|0.74285716|0.7027027|0.7222222
69|0.66101694|0.75|0.7105263|0.7297298
70|0.6666667|0.7567568|0.71794873|0.7368421
71|0.6557377|0.7567568|0.7|0.7272727
73|0.66129035|0.7631579|0.70731705|0.73417723
74|0.6666667|0.7692308|0.71428573|0.7407408
76|0.671875|0.7692308|0.71428573|0.7407408
79|0.6769231|0.7692308|0.71428573|0.7407408
80|0.6818182|0.775|0.7209302|0.74698794
81|0.6865672|0.775|0.7209302|0.74698794
82|0.6764706|0.75609756|0.7209302|0.7380953
83|0.6666667|0.7380952|0.7209302|0.7294118
85|0.67142856|0.74418604|0.72727275|0.7356322
86|0.6760563|0.75|0.73333335|0.74157304
87|0.6805556|0.75|0.73333335|0.74157304
88|0.6849315|0.75555557|0.73913044|0.7472527
90|0.6756757|0.75555557|0.7234042|0.73913044
91|0.6666667|0.75555557|0.7083333|0.73118275
92|0.65789473|0.73913044|0.7083333|0.7234042
93|0.64935064|0.7234042|0.7083333|0.71578944
94|0.65384614|0.7234042|0.7083333|0.71578944
96|0.6455696|0.7234042|0.6938776|0.7083333
97|0.65|0.7291667|0.7|0.71428573
98|0.6419753|0.7291667|0.6862745|0.7070707
99|0.63414633|0.71428573|0.6862745|0.70000005
100|0.62650603|0.71428573|0.6730769|0.6930693
102|0.63095236|0.72|0.6792453|0.69902915
103|0.63529414|0.7254902|0.6851852|0.7047619
104|0.6395349|0.7254902|0.6851852|0.7047619
105|0.6321839|0.7254902|0.6727273|0.69811326
106|0.6363636|0.7254902|0.6727273|0.69811326
107|0.64044946|0.7307692|0.6785714|0.70370364
109|0.6333333|0.7307692|0.6666667|0.6972477
110|0.63736266|0.7358491|0.67241377|0.7027027
111|0.6413044|0.7407407|0.6779661|0.70796454
112|0.6451613|0.74545455|0.68333334|0.71304345
113|0.64893615|0.74545455|0.68333334|0.71304345
114|0.6526316|0.75|0.6885246|0.7179487
115|0.65625|0.75438595|0.6935484|0.72268903
117|0.6597938|0.7586207|0.6984127|0.72727275
118|0.6530612|0.7586207|0.6875|0.72131145
119|0.64646465|0.7586207|0.6769231|0.7154472
120|0.65|0.7627119|0.6818182|0.7200001
121|0.65346533|0.76666665|0.6865672|0.7244094
122|0.64705884|0.76666665|0.6764706|0.71875
123|0.65048546|0.7704918|0.68115944|0.7230769
128|0.65384614|0.7741935|0.6857143|0.72727275
130|0.6571429|0.7777778|0.69014084|0.7313433
131|0.6509434|0.7777778|0.6805556|0.7259259
133|0.6542056|0.7777778|0.6805556|0.7259259
134|0.6574074|0.78125|0.6849315|0.729927
136|0.6605505|0.7846154|0.6891892|0.733813
137|0.6636364|0.7846154|0.6891892|0.733813
138|0.6576577|0.77272725|0.6891892|0.7285714
139|0.65178573|0.76119405|0.6891892|0.7234043
140|0.65486723|0.7647059|0.6933333|0.7272727
141|0.65789473|0.76811594|0.69736844|0.73103446
142|0.66086954|0.7714286|0.7012987|0.7346939
143|0.6637931|0.7714286|0.7012987|0.7346939
144|0.6666667|0.7746479|0.7051282|0.738255
145|0.66101694|0.7746479|0.6962025|0.7333333
146|0.6554622|0.7746479|0.6875|0.72847676
148|0.65|0.7746479|0.67901236|0.7236842
150|0.6446281|0.7746479|0.6707317|0.71895427
151|0.6393443|0.7746479|0.6626506|0.7142857
152|0.6422764|0.7746479|0.6626506|0.7142857
154|0.63709676|0.7638889|0.6626506|0.70967746
157|0.632|0.7638889|0.6547619|0.7051282
158|0.63492066|0.7671233|0.65882355|0.70886075
159|0.63779527|0.7702703|0.6627907|0.7125
160|0.6328125|0.76|0.6627907|0.7080745
161|0.6356589|0.76|0.6627907|0.7080745
164|0.63846153|0.7631579|0.6666667|0.71165645
165|0.6335878|0.7631579|0.65909094|0.7073171
166|0.6363636|0.76623374|0.66292137|0.71084344
167|0.6315789|0.76623374|0.65555555|0.70658684
168|0.63432837|0.7692308|0.6593407|0.7100592
169|0.63703704|0.7721519|0.6630435|0.71345025
170|0.6397059|0.775|0.6666667|0.716763
171|0.6423358|0.7777778|0.67021275|0.72
172|0.64492756|0.7804878|0.67368424|0.72316384
173|0.64748204|0.78313255|0.6770833|0.72625697
174|0.65|0.78571427|0.68041235|0.7292817
175|0.6524823|0.78571427|0.68041235|0.7292817
177|0.64788735|0.78571427|0.67346936|0.7252747
178|0.6433566|0.7764706|0.67346936|0.7213115
179|0.6458333|0.7790698|0.67676765|0.7243243
180|0.64827585|0.7790698|0.67676765|0.7243243
181|0.65068495|0.7790698|0.67676765|0.7243243
184|0.6530612|0.7790698|0.67676765|0.7243243
185|0.6554054|0.7790698|0.67676765|0.7243243
186|0.6577181|0.7816092|0.68|0.72727275
187|0.6533333|0.77272725|0.68|0.7234042
188|0.6490066|0.76404494|0.68|0.7195767
189|0.6447368|0.75555557|0.68|0.7157895
192|0.6405229|0.74725276|0.68|0.71204185
193|0.6363636|0.73913044|0.68|0.7083334
194|0.63870966|0.7419355|0.6831683|0.7113402
195|0.64102566|0.7446808|0.6862745|0.7142857
196|0.6433121|0.7473684|0.6893204|0.7171717
197|0.6392405|0.7473684|0.6826923|0.7135678
199|0.6415094|0.7473684|0.6826923|0.7135678
200|0.6375|0.7473684|0.6761905|0.71
202|0.63975155|0.7473684|0.6761905|0.71
203|0.63580245|0.7473684|0.6698113|0.7064676
204|0.6380368|0.7473684|0.6698113|0.7064676
206|0.6402439|0.75|0.6728972|0.7093596
207|0.6363636|0.75|0.6666667|0.7058823
208|0.6325301|0.75|0.6605505|0.702439
209|0.6347305|0.75|0.6605505|0.702439
210|0.6369048|0.7525773|0.6636364|0.705314
211|0.6390532|0.75510204|0.6666667|0.70813406
212|0.64117646|0.75757575|0.66964287|0.7109005
213|0.64327484|0.75757575|0.66964287|0.7109005
214|0.64534885|0.75757575|0.66964287|0.7109005
215|0.6473988|0.75757575|0.66964287|0.7109005
216|0.64942527|0.75757575|0.66964287|0.7109005
217|0.6514286|0.75757575|0.66964287|0.7109005
218|0.65340906|0.75757575|0.66964287|0.7109005
219|0.65536726|0.76|0.67256635|0.713615
220|0.6573034|0.76237625|0.6754386|0.7162791
221|0.6592179|0.7647059|0.67826086|0.71889406
223|0.6611111|0.7669903|0.6810345|0.72146124
224|0.65745854|0.7669903|0.6752137|0.71818185
225|0.6593407|0.7692308|0.6779661|0.7207207
227|0.6612022|0.7692308|0.6779661|0.7207207
228|0.6612022|0.7692308|0.6779661|0.7207207
229|0.6630435|0.7714286|0.6806723|0.72321427
230|0.66486484|0.7735849|0.68333334|0.7256637
231|0.6666667|0.7757009|0.6859504|0.72807014
232|0.6684492|0.7777778|0.6885246|0.7304348
234|0.67021275|0.7798165|0.6910569|0.73275864
235|0.6719577|0.7818182|0.6935484|0.73504275
236|0.66842103|0.7747748|0.6935484|0.7319149
237|0.6701571|0.77678573|0.696|0.73417723
238|0.671875|0.7787611|0.6984127|0.73640174
239|0.6735751|0.78070176|0.7007874|0.7385892
240|0.67525774|0.7826087|0.703125|0.7407407
241|0.6769231|0.7844828|0.70542634|0.7428571
243|0.67346936|0.7777778|0.70542634|0.7398374
247|0.67005074|0.7777778|0.7|0.73684216
248|0.6666667|0.7777778|0.6946565|0.733871
249|0.6683417|0.779661|0.6969697|0.736
250|0.67|0.7815126|0.69924814|0.7380952
251|0.67164177|0.78333336|0.70149255|0.7401575
252|0.6732673|0.78512394|0.7037037|0.7421875
253|0.6699507|0.78512394|0.6985294|0.73929965
254|0.67156863|0.78512394|0.6985294|0.73929965
256|0.6682927|0.78512394|0.69343066|0.7364341
258|0.6699029|0.78512394|0.69343066|0.7364341
259|0.6666667|0.78512394|0.6884058|0.7335907
262|0.66346157|0.78512394|0.68345326|0.7307693
263|0.6602871|0.77868855|0.68345326|0.7279694
265|0.66190475|0.7804878|0.6857143|0.7300381
267|0.65876776|0.7804878|0.68085104|0.72727275
268|0.6556604|0.7804878|0.6760563|0.72452825
270|0.65258217|0.7741935|0.6760563|0.7218045
272|0.6542056|0.7741935|0.6760563|0.7218045
274|0.6511628|0.768|0.6760563|0.71910113
275|0.6481481|0.768|0.67132866|0.7164179
276|0.6497696|0.76984125|0.6736111|0.71851856
278|0.6513761|0.77165353|0.6758621|0.7205882
279|0.65296805|0.7734375|0.67808217|0.7226277
280|0.6545454|0.7751938|0.6802721|0.7246377
281|0.6561086|0.77692306|0.6824324|0.7266187
282|0.6576577|0.77862597|0.68456376|0.7285715
283|0.6547085|0.77272725|0.68456376|0.7259787
284|0.65178573|0.7669173|0.68456376|0.7234042
285|0.6488889|0.7669173|0.68|0.720848
286|0.6488889|0.7669173|0.68|0.720848
287|0.6460177|0.7669173|0.6754967|0.7183098
288|0.6431718|0.7669173|0.67105263|0.7157895
289|0.6447368|0.7669173|0.67105263|0.7157895
290|0.6419214|0.7669173|0.6666667|0.71328676
291|0.6391304|0.7669173|0.66233766|0.7108013
292|0.64069265|0.76865673|0.66451615|0.71280277
293|0.64224136|0.76865673|0.66451615|0.71280277
294|0.639485|0.76865673|0.6602564|0.71034485
295|0.6367521|0.76296294|0.6602564|0.70790374
296|0.63829786|0.7647059|0.6624204|0.70989764
297|0.63559324|0.7591241|0.6624204|0.707483
298|0.6371308|0.7591241|0.6624204|0.707483
299|0.6344538|0.7591241|0.65822786|0.7050848
300|0.6359833|0.76086956|0.6603774|0.7070707
301|0.6375|0.76086956|0.6603774|0.7070707
302|0.6348548|0.76086956|0.65625|0.704698
303|0.6363636|0.76086956|0.65625|0.704698
304|0.63786006|0.76258993|0.6583851|0.70666665
305|0.6393443|0.76428574|0.66049385|0.7086093
306|0.63673466|0.76428574|0.6564417|0.70627064
308|0.63821137|0.7659575|0.6585366|0.70819676
309|0.6396761|0.76760566|0.6606061|0.7100978
310|0.641129|0.7692308|0.6626506|0.7119741
311|0.64257026|0.7708333|0.66467065|0.71382636
312|0.64|0.7708333|0.66071427|0.71153843
313|0.6374502|0.76551723|0.66071427|0.7092652
314|0.6388889|0.7671233|0.6627219|0.71111107
315|0.6363636|0.7619048|0.6627219|0.7088608
316|0.63779527|0.7635135|0.6647059|0.71069187
317|0.63529414|0.7635135|0.6608187|0.70846397
318|0.63671875|0.76510066|0.6627907|0.71028036
319|0.6381323|0.76666665|0.6647399|0.71207434
320|0.6395349|0.7682119|0.6666667|0.71384615
321|0.64092666|0.7697368|0.6685714|0.7155963
322|0.6423077|0.7697368|0.6685714|0.7155963
324|0.63984674|0.7697368|0.66477275|0.7134147
325|0.64122134|0.77124184|0.6666667|0.7151515
326|0.6425856|0.77124184|0.6666667|0.7151515
327|0.6439394|0.77272725|0.66853935|0.7168675
328|0.64528304|0.7741935|0.6703911|0.7185629
329|0.6466165|0.775641|0.6722222|0.7202381
330|0.6441948|0.775641|0.6685083|0.7181009
332|0.64179105|0.775641|0.66483516|0.7159763
333|0.6431227|0.77707005|0.6666667|0.7176471
334|0.64444447|0.778481|0.66847825|0.7192982
335|0.6457565|0.7798742|0.67027026|0.72093016
336|0.64705884|0.78125|0.672043|0.7225433
337|0.64835167|0.7826087|0.6737968|0.7241379
338|0.649635|0.7839506|0.6755319|0.7257143
339|0.65090907|0.7839506|0.6755319|0.7257143
341|0.65217394|0.78527606|0.67724866|0.72727275
342|0.6534296|0.78527606|0.67724866|0.72727275
343|0.6510791|0.7804878|0.67724866|0.7252124
344|0.65232974|0.7818182|0.6789474|0.7267606
346|0.65|0.77710843|0.6789474|0.72471905
347|0.65124553|0.7784431|0.6806283|0.72625697
350|0.64893615|0.7784431|0.6770833|0.724234
351|0.6466431|0.7784431|0.6735751|0.7222222
352|0.64788735|0.7797619|0.67525774|0.7237569
353|0.64912283|0.7810651|0.6769231|0.72527474
354|0.6503497|0.7810651|0.6769231|0.72527474
355|0.65156794|0.7810651|0.6769231|0.72527474
356|0.6493056|0.7810651|0.67346936|0.7232877
357|0.64705884|0.7810651|0.67005074|0.7213115
358|0.64827585|0.7823529|0.67171717|0.7228261
359|0.6494845|0.7836257|0.67336684|0.7243243
360|0.65068495|0.78488374|0.675|0.72580653
362|0.64846414|0.78488374|0.67164177|0.72386056
363|0.64625853|0.78488374|0.66831684|0.72192514
364|0.6440678|0.78488374|0.66502464|0.71999997
365|0.6452703|0.78612715|0.6666667|0.72148544
366|0.64646465|0.7873563|0.6682927|0.72295517
367|0.6442953|0.7873563|0.66504854|0.7210526
369|0.6454849|0.7885714|0.6666667|0.7225131
370|0.6433333|0.78409094|0.6666667|0.72062665
372|0.64451826|0.78409094|0.6666667|0.72062665
373|0.6423841|0.779661|0.6666667|0.71875
374|0.64356434|0.78089887|0.6682692|0.7202073
375|0.6447368|0.78089887|0.6682692|0.7202073
377|0.6459016|0.78089887|0.6682692|0.7202073
378|0.64379084|0.7765363|0.6682692|0.7183463
380|0.64169383|0.7765363|0.6650718|0.71649486
381|0.6396104|0.7722222|0.6650718|0.7146529
382|0.6407767|0.77348065|0.6666667|0.7161125
383|0.64193547|0.77472526|0.66824645|0.71755725
385|0.63987136|0.7704918|0.66824645|0.71573603
386|0.64102566|0.7704918|0.66824645|0.71573603
387|0.6421725|0.7717391|0.6698113|0.7171717
388|0.64012736|0.7675676|0.6698113|0.7153653
389|0.63809526|0.7675676|0.6666667|0.71356785
390|0.636076|0.7675676|0.6635514|0.7117795
391|0.63722396|0.7675676|0.6635514|0.7117795
392|0.6383648|0.7675676|0.6635514|0.7117795
393|0.6363636|0.7675676|0.6604651|0.71000004
394|0.6375|0.7675676|0.6604651|0.71000004
395|0.635514|0.7675676|0.6574074|0.7082294
396|0.6335404|0.7675676|0.6543779|0.7064676
398|0.6346749|0.7675676|0.6543779|0.7064676
399|0.63580245|0.7675676|0.6543779|0.7064676
400|0.63384616|0.76344085|0.6543779|0.7047146
401|0.63496935|0.76344085|0.6543779|0.7047146
402|0.6360856|0.76344085|0.6543779|0.7047146
403|0.63414633|0.76344085|0.6513761|0.7029703
405|0.63221884|0.76344085|0.6484018|0.7012346
406|0.6333333|0.76344085|0.6484018|0.7012346
407|0.6344411|0.76344085|0.6484018|0.7012346
409|0.6325301|0.76344085|0.6454545|0.69950736
410|0.6336336|0.76344085|0.6454545|0.69950736
412|0.6347305|0.76344085|0.6454545|0.69950736
413|0.6328358|0.76344085|0.64253396|0.69778866
414|0.63095236|0.76344085|0.6396396|0.6960784
415|0.6320475|0.7647059|0.6412556|0.69756097
416|0.6331361|0.7647059|0.6412556|0.69756097
418|0.63126844|0.7647059|0.63839287|0.6958637
419|0.62941176|0.7647059|0.63555557|0.69417477
420|0.627566|0.7647059|0.63274336|0.692494
421|0.62865496|0.7647059|0.63274336|0.692494
423|0.6297376|0.7659575|0.6343612|0.6939759
424|0.63081396|0.76719576|0.63596493|0.69544363
425|0.6289855|0.76719576|0.6331878|0.69377995
426|0.6300578|0.76719576|0.6331878|0.69377995
428|0.6311239|0.76842105|0.6347826|0.69523805
429|0.6321839|0.76963353|0.6363636|0.69668245
430|0.63323784|0.7708333|0.63793105|0.6981132
431|0.6342857|0.7720207|0.639485|0.6995305
432|0.63532764|0.77319586|0.64102566|0.7009346
433|0.6363636|0.774359|0.6425532|0.7023256
435|0.6373938|0.774359|0.6425532|0.7023256
437|0.6384181|0.774359|0.6425532|0.7023256
438|0.6394366|0.774359|0.6425532|0.7023256
439|0.6376405|0.774359|0.6398305|0.70069605
440|0.63585436|0.774359|0.6371308|0.69907415
441|0.6368715|0.7755102|0.6386555|0.7004608
443|0.6350975|0.7755102|0.6359833|0.6988505
444|0.63611114|0.7766498|0.6375|0.7002288
445|0.63434905|0.7766498|0.6348548|0.6986302
446|0.6353591|0.7777778|0.6363636|0.7
447|0.6363636|0.7788945|0.63786006|0.7013575
449|0.63736266|0.78|0.6393443|0.70270276
450|0.6356164|0.78|0.63673466|0.70112354
451|0.6338798|0.78|0.63414633|0.6995516
452|0.6348774|0.78109455|0.6356275|0.70089287
