N|Acuraccy|Precision|Recall|F-Measure
1|0.6666667|1.0|0.5|0.6666667
2|0.75|1.0|0.5|0.6666667
3|0.8|1.0|0.5|0.6666667
4|0.8333333|1.0|0.5|0.6666667
5|0.85714287|1.0|0.5|0.6666667
6|0.875|1.0|0.5|0.6666667
8|0.8888889|1.0|0.5|0.6666667
9|0.9|1.0|0.5|0.6666667
10|0.8181818|1.0|0.33333334|0.5
11|0.8333333|1.0|0.5|0.6666667
12|0.84615386|1.0|0.5|0.6666667
13|0.78571427|1.0|0.4|0.5714286
15|0.8|1.0|0.5|0.6666667
17|0.8125|1.0|0.5|0.6666667
18|0.7647059|1.0|0.42857143|0.59999996
19|0.7222222|1.0|0.375|0.54545456
20|0.68421054|0.75|0.375|0.5
21|0.65|0.6|0.375|0.46153846
22|0.61904764|0.6|0.33333334|0.42857143
23|0.59090906|0.5|0.33333334|0.4
24|0.6086956|0.5|0.33333334|0.4
25|0.625|0.5|0.33333334|0.4
26|0.64|0.5714286|0.4|0.47058824
27|0.61538464|0.5|0.4|0.44444448
28|0.5925926|0.44444445|0.4|0.42105263
30|0.60714287|0.44444445|0.4|0.42105263
32|0.62068963|0.44444445|0.4|0.42105263
33|0.6|0.4|0.4|0.40000004
35|0.61290324|0.45454547|0.45454547|0.45454547
36|0.625|0.5|0.5|0.5
38|0.6363636|0.5|0.5|0.5
40|0.61764705|0.46153846|0.5|0.48000002
41|0.6|0.42857143|0.5|0.46153846
42|0.5833333|0.4|0.5|0.44444448
43|0.5945946|0.4|0.5|0.44444448
44|0.6052632|0.4|0.5|0.44444448
46|0.61538464|0.4|0.5|0.44444448
48|0.625|0.4|0.5|0.44444448
49|0.63414633|0.4375|0.53846157|0.4827586
51|0.64285713|0.4375|0.53846157|0.4827586
52|0.6511628|0.4375|0.53846157|0.4827586
53|0.65909094|0.47058824|0.5714286|0.516129
54|0.6666667|0.47058824|0.5714286|0.516129
55|0.67391306|0.5|0.6|0.54545456
56|0.65957445|0.5|0.5625|0.5294118
