N	Acuraccy	Precision	Recall	F-Measure
1	1	1	1	1
2	0.75	0.6666667	1	0.8
3	0.6	0.5	1	0.6666667
4	0.6666667	0.6	1	0.75
5	0.71428573	0.6666667	1	0.8
6	0.75	0.71428573	1	0.8333334
7	0.7777778	0.71428573	1	0.8333334
8	0.8	0.75	1	0.85714287
9	0.72727275	0.6666667	1	0.8
10	0.6666667	0.6	1	0.75
11	0.6923077	0.6	1	0.75
12	0.64285713	0.54545456	1	0.7058824
13	0.6666667	0.5833333	1	0.7368421
14	0.6875	0.5833333	1	0.7368421
15	0.7058824	0.5833333	1	0.7368421
16	0.7222222	0.5833333	1	0.7368421
17	0.7368421	0.61538464	1	0.76190484
18	0.7	0.5714286	1	0.72727275
19	0.6666667	0.53333336	1	0.69565225
20	0.6363636	0.53333336	0.8888889	0.6666667
21	0.65217394	0.53333336	0.8888889	0.6666667
22	0.6666667	0.5625	0.9	0.69230765
23	0.64	0.5625	0.8181818	0.6666667
24	0.65384614	0.5882353	0.8333333	0.6896552
25	0.6296296	0.5555556	0.8333333	0.66666675
26	0.64285713	0.5555556	0.8333333	0.66666675
27	0.6551724	0.5555556	0.8333333	0.66666675
28	0.6666667	0.5555556	0.8333333	0.66666675
29	0.6451613	0.5555556	0.7692308	0.6451613
30	0.65625	0.57894737	0.78571427	0.6666666
31	0.6666667	0.57894737	0.78571427	0.6666666
32	0.6764706	0.6	0.8	0.68571424
33	0.6857143	0.6	0.8	0.68571424
34	0.6944444	0.61904764	0.8125	0.7027027
35	0.7027027	0.61904764	0.8125	0.7027027
36	0.7027027	0.61904764	0.8125	0.7027027
37	0.7105263	0.6363636	0.8235294	0.71794873
38	0.71794873	0.65217394	0.8333333	0.7317073
39	0.7	0.65217394	0.7894737	0.71428573
40	0.70731705	0.65217394	0.7894737	0.71428573
41	0.6904762	0.65217394	0.75	0.6976744
42	0.6976744	0.65217394	0.75	0.6976744
43	0.70454544	0.6666667	0.7619048	0.7111111
44	0.6888889	0.64	0.7619048	0.6956521
45	0.6956522	0.65384614	0.77272725	0.7083333
46	0.68085104	0.6296296	0.77272725	0.6938776
47	0.6875	0.6296296	0.77272725	0.6938776
48	0.67346936	0.60714287	0.77272725	0.68
49	0.68	0.60714287	0.77272725	0.68
50	0.6666667	0.60714287	0.73913044	0.6666667
51	0.6730769	0.62068963	0.75	0.6792453
52	0.6792453	0.6333333	0.76	0.6909091
53	0.6851852	0.6333333	0.76	0.6909091
54	0.6909091	0.6451613	0.7692308	0.7017544
55	0.6785714	0.6451613	0.7407407	0.6896552
56	0.6666667	0.625	0.7407407	0.67796606
57	0.6551724	0.6060606	0.7407407	0.6666667
58	0.66101694	0.6060606	0.7407407	0.6666667
59	0.6666667	0.61764705	0.75	0.67741936
60	0.6557377	0.61764705	0.7241379	0.6666666
61	0.6451613	0.6	0.7241379	0.65625
62	0.6507937	0.6	0.7241379	0.65625
63	0.640625	0.6	0.7	0.64615387
64	0.63076925	0.5833333	0.7	0.6363636
65	0.6212121	0.5833333	0.67741936	0.6268656
66	0.6268657	0.5833333	0.67741936	0.6268656
67	0.63235295	0.5945946	0.6875	0.6376812
68	0.6376812	0.6052632	0.6969697	0.64788735
69	0.64285713	0.61538464	0.7058824	0.6575343
70	0.64788735	0.625	0.71428573	0.6666667
71	0.6527778	0.625	0.71428573	0.6666667
72	0.65753424	0.625	0.71428573	0.6666667
73	0.6621622	0.63414633	0.7222222	0.6753246
74	0.6666667	0.64285713	0.7297297	0.6835443
75	0.65789473	0.64285713	0.7105263	0.675
76	0.64935064	0.64285713	0.6923077	0.6666667
77	0.64102566	0.64285713	0.675	0.6585366
78	0.6455696	0.6511628	0.68292683	0.6666667
79	0.65	0.6511628	0.68292683	0.6666667
80	0.6419753	0.6363636	0.68292683	0.65882355
81	0.63414633	0.6363636	0.6666667	0.65116286
82	0.62650603	0.62222224	0.6666667	0.6436782
83	0.63095236	0.6304348	0.6744186	0.6516854
84	0.62352943	0.61702126	0.6744186	0.64444447
85	0.627907	0.625	0.6818182	0.6521739
86	0.6321839	0.63265306	0.6888889	0.65957445
87	0.6363636	0.63265306	0.6888889	0.65957445
88	0.6292135	0.62	0.6888889	0.6526316
89	0.62222224	0.62	0.67391306	0.6458333
90	0.61538464	0.62	0.65957445	0.6391753
91	0.6195652	0.62	0.65957445	0.6391753
92	0.61290324	0.60784316	0.65957445	0.63265306
93	0.61702126	0.61538464	0.6666667	0.64000005
94	0.61702126	0.61538464	0.6666667	0.64000005
95	0.6210526	0.6226415	0.67346936	0.6470588
96	0.6145833	0.6226415	0.66	0.64077675
97	0.6185567	0.6296296	0.6666667	0.647619
98	0.622449	0.6296296	0.6666667	0.647619
99	0.6262626	0.6363636	0.6730769	0.65420556
100	0.62	0.6363636	0.6603774	0.6481481
101	0.62376237	0.64285713	0.6666667	0.6545454
102	0.627451	0.64912283	0.6727273	0.6607143
103	0.6213592	0.63793105	0.6727273	0.6548673
104	0.61538464	0.63793105	0.66071427	0.64912283
105	0.61904764	0.63793105	0.66071427	0.64912283
106	0.6226415	0.63793105	0.66071427	0.64912283
107	0.6168224	0.62711865	0.66071427	0.6434782
108	0.6111111	0.62711865	0.64912283	0.63793105
109	0.6146789	0.62711865	0.64912283	0.63793105
110	0.6181818	0.6333333	0.6551724	0.64406776
111	0.6216216	0.6393443	0.66101694	0.65000004
112	0.625	0.6451613	0.6666667	0.65573776
113	0.625	0.6451613	0.6666667	0.65573776
114	0.6283186	0.6507937	0.6721311	0.6612903
115	0.622807	0.640625	0.6721311	0.656
116	0.62608695	0.64615387	0.67741936	0.6614173
117	0.62931037	0.6515151	0.6825397	0.6666667
118	0.63247865	0.6515151	0.6825397	0.6666667
119	0.63559324	0.6515151	0.6825397	0.6666667
