N|Acuraccy|Precision|Recall|F-Measure
1|1.0|1.0|1.0|1.0
2|1.0|1.0|1.0|1.0
3|1.0|1.0|1.0|1.0
4|1.0|1.0|1.0|1.0
5|1.0|1.0|1.0|1.0
6|1.0|1.0|1.0|1.0
7|1.0|1.0|1.0|1.0
8|1.0|1.0|1.0|1.0
9|1.0|1.0|1.0|1.0
10|0.9166667|0.9|1.0|0.9473684
11|0.84615386|0.9|0.9|0.9
12|0.85714287|0.90909094|0.90909094|0.90909094
13|0.8666667|0.9166667|0.9166667|0.9166667
14|0.8125|0.9166667|0.84615386|0.88
15|0.7647059|0.9166667|0.78571427|0.84615386
16|0.7777778|0.9166667|0.78571427|0.84615386
17|0.7894737|0.9230769|0.8|0.85714287
18|0.75|0.85714287|0.8|0.82758623
19|0.7619048|0.8666667|0.8125|0.83870965
20|0.72727275|0.8666667|0.7647059|0.8125
21|0.6956522|0.8666667|0.7222222|0.78787875
22|0.7083333|0.875|0.7368421|0.79999995
23|0.68|0.875|0.7|0.7777778
24|0.6923077|0.88235295|0.71428573|0.7894737
25|0.7037037|0.8888889|0.72727275|0.8
26|0.6785714|0.8888889|0.6956522|0.7804878
27|0.6896552|0.8888889|0.6956522|0.7804878
28|0.6666667|0.8888889|0.6666667|0.7619048
29|0.6451613|0.8888889|0.64|0.74418604
30|0.625|0.84210527|0.64|0.7272727
31|0.6060606|0.84210527|0.61538464|0.71111107
32|0.61764705|0.85|0.6296296|0.7234042
33|0.6|0.85|0.60714287|0.7083334
34|0.6111111|0.85714287|0.62068963|0.7199999
35|0.5945946|0.85714287|0.6|0.70588243
36|0.6052632|0.85714287|0.6|0.70588243
37|0.61538464|0.8636364|0.61290324|0.7169812
39|0.625|0.8636364|0.61290324|0.7169812
40|0.6097561|0.8636364|0.59375|0.70370376
41|0.61904764|0.8636364|0.59375|0.70370376
42|0.60465115|0.8636364|0.57575756|0.690909
44|0.60465115|0.8636364|0.57575756|0.690909
45|0.6136364|0.8695652|0.5882353|0.7017544
46|0.62222224|0.875|0.6|0.7118645
47|0.6086956|0.875|0.5833333|0.7
48|0.61702126|0.88|0.5945946|0.7096774
49|0.6041667|0.88|0.57894737|0.69841266
50|0.6122449|0.88|0.57894737|0.69841266
51|0.62|0.88461536|0.5897436|0.7076923
52|0.627451|0.8888889|0.6|0.7164179
53|0.61538464|0.8888889|0.58536583|0.7058823
54|0.6226415|0.89285713|0.5952381|0.7142857
55|0.6296296|0.89285713|0.5952381|0.7142857
56|0.6363636|0.8965517|0.60465115|0.7222222
57|0.64285713|0.9|0.6136364|0.7297298
58|0.6315789|0.9|0.6|0.72
59|0.63793105|0.9032258|0.6086956|0.72727275
60|0.62711865|0.9032258|0.59574467|0.7179487
61|0.6333333|0.90625|0.6041667|0.72499996
62|0.6229508|0.90625|0.59183675|0.7160494
63|0.62903225|0.90625|0.59183675|0.7160494
65|0.63492066|0.90625|0.59183675|0.7160494
66|0.640625|0.90625|0.59183675|0.7160494
67|0.64615387|0.90909094|0.6|0.72289157
68|0.6515151|0.9117647|0.60784316|0.72941184
69|0.6567164|0.9142857|0.61538464|0.7356322
70|0.6617647|0.9166667|0.6226415|0.74157304
71|0.65217394|0.9166667|0.6111111|0.73333335
72|0.64285713|0.9166667|0.6|0.72527474
74|0.64788735|0.9189189|0.60714287|0.73118275
75|0.6388889|0.9189189|0.5964912|0.7234042
76|0.6388889|0.9189189|0.5964912|0.7234042
77|0.63013697|0.9189189|0.5862069|0.7157895
78|0.6351351|0.92105263|0.59322035|0.7216496
79|0.64|0.92105263|0.59322035|0.7216496
80|0.6447368|0.9230769|0.6|0.72727275
81|0.64935064|0.9230769|0.6|0.72727275
82|0.64102566|0.9|0.6|0.72
83|0.6455696|0.902439|0.60655737|0.7254902
84|0.65|0.9047619|0.61290324|0.7307693
85|0.654321|0.90697676|0.61904764|0.7358491
86|0.6585366|0.90909094|0.625|0.7407407
87|0.6585366|0.90909094|0.625|0.7407407
88|0.6506024|0.8888889|0.625|0.733945
89|0.6547619|0.8888889|0.625|0.733945
90|0.64705884|0.8888889|0.61538464|0.72727275
91|0.6395349|0.8888889|0.6060606|0.7207207
92|0.6436782|0.8913044|0.6119403|0.72566384
93|0.64772725|0.89361703|0.61764705|0.7304348
94|0.64772725|0.89361703|0.61764705|0.7304348
95|0.6516854|0.8958333|0.6231884|0.7350427
96|0.65555555|0.8958333|0.6231884|0.7350427
97|0.6593407|0.8979592|0.62857145|0.7394958
98|0.65217394|0.8979592|0.6197183|0.7333333
99|0.65591395|0.9|0.625|0.73770493
100|0.64893615|0.9|0.6164383|0.73170733
101|0.6526316|0.9019608|0.6216216|0.73599994
102|0.65625|0.90384614|0.62666667|0.7401575
103|0.6597938|0.9056604|0.6315789|0.74418604
104|0.6530612|0.9056604|0.6233766|0.73846155
105|0.64646465|0.9056604|0.61538464|0.73282444
106|0.64|0.9056604|0.6075949|0.72727275
107|0.64356434|0.9074074|0.6125|0.7313432
108|0.6372549|0.9074074|0.60493827|0.7259259
110|0.6407767|0.90909094|0.6097561|0.729927
111|0.6442308|0.91071427|0.61445785|0.7338129
112|0.64761907|0.9122807|0.61904764|0.73758864
113|0.6415094|0.9122807|0.6117647|0.73239434
114|0.635514|0.8965517|0.6117647|0.7272727
115|0.6296296|0.88135594|0.6117647|0.72222227
116|0.6330275|0.8833333|0.61627907|0.7260274
117|0.6363636|0.8852459|0.62068963|0.7297297
118|0.6306306|0.8852459|0.6136364|0.72483224
119|0.625|0.8852459|0.60674155|0.71999997
120|0.6283186|0.88709676|0.6111111|0.7236842
121|0.6315789|0.8888889|0.61538464|0.72727275
122|0.62608695|0.8888889|0.6086956|0.7225806
123|0.62068963|0.875|0.6086956|0.71794873
125|0.62393165|0.8769231|0.61290324|0.72151893
126|0.61864406|0.8636364|0.61290324|0.7169812
127|0.62184876|0.86567163|0.61702126|0.72049683
128|0.625|0.86764705|0.6210526|0.72392637
129|0.6280992|0.86764705|0.6210526|0.72392637
130|0.63114756|0.8695652|0.625|0.7272727
131|0.62601626|0.8695652|0.6185567|0.72289157
132|0.62903225|0.87142855|0.622449|0.72619045
133|0.624|0.87142855|0.61616164|0.72189355
134|0.61904764|0.85915494|0.61616164|0.7176471
135|0.61417323|0.85915494|0.61|0.71345025
136|0.609375|0.8472222|0.61|0.70930237
137|0.60465115|0.8472222|0.6039604|0.7052023
138|0.6076923|0.84931505|0.60784316|0.7085715
139|0.610687|0.8513514|0.61165047|0.7118644
140|0.610687|0.8513514|0.61165047|0.7118644
141|0.6136364|0.85333335|0.61538464|0.7150838
142|0.6165413|0.8552632|0.61904764|0.718232
143|0.6119403|0.8552632|0.6132075|0.71428573
144|0.6148148|0.85714287|0.6168224|0.7173913
145|0.6102941|0.85714287|0.6111111|0.71351355
146|0.60583943|0.85714287|0.6055046|0.7096774
147|0.60144925|0.85714287|0.6|0.70588243
148|0.5971223|0.85714287|0.5945946|0.70212764
149|0.5928571|0.85714287|0.58928573|0.6984127
150|0.59574467|0.85714287|0.58928573|0.6984127
151|0.5915493|0.85714287|0.5840708|0.69473684
152|0.5874126|0.85714287|0.57894737|0.69109946
153|0.5874126|0.85714287|0.57894737|0.69109946
154|0.5833333|0.84615386|0.57894737|0.68749994
155|0.5862069|0.84615386|0.57894737|0.68749994
156|0.5890411|0.84810126|0.5826087|0.6907217
157|0.59183675|0.84810126|0.5826087|0.6907217
158|0.5945946|0.85|0.5862069|0.6938776
159|0.59731543|0.8518519|0.5897436|0.69696975
160|0.6|0.85365856|0.59322035|0.7
161|0.5960265|0.85365856|0.5882353|0.6965174
162|0.59210527|0.8433735|0.5882353|0.69306934
163|0.59477127|0.8452381|0.59166664|0.6960784
164|0.5974026|0.84705883|0.59504133|0.6990291
165|0.59354836|0.84705883|0.59016395|0.69565225
166|0.5897436|0.8372093|0.59016395|0.6923077
167|0.58598727|0.8372093|0.58536583|0.6889952
168|0.5886076|0.83908045|0.58870965|0.6919431
169|0.591195|0.84090906|0.592|0.6948357
170|0.59375|0.8426966|0.5952381|0.6976744
171|0.5962733|0.84444445|0.5984252|0.7004608
172|0.59876543|0.84615386|0.6015625|0.70319635
173|0.601227|0.84782606|0.60465115|0.7058823
174|0.60365856|0.8494624|0.6076923|0.7085202
175|0.6060606|0.8494624|0.6076923|0.7085202
176|0.6084337|0.85106385|0.610687|0.7111111
177|0.6047904|0.85106385|0.6060606|0.70796466
178|0.60714287|0.85263157|0.60902256|0.7105263
179|0.60946745|0.8541667|0.6119403|0.7130435
180|0.6117647|0.8541667|0.6119403|0.7130435
181|0.61403507|0.8541667|0.6119403|0.7130435
182|0.6104651|0.8541667|0.6074074|0.7099567
183|0.6069364|0.8541667|0.60294116|0.7068966
184|0.6034483|0.8541667|0.5985401|0.70386267
185|0.60571426|0.8541667|0.5985401|0.70386267
186|0.60571426|0.8541667|0.5985401|0.70386267
187|0.60227275|0.8453608|0.5985401|0.7008547
188|0.6045198|0.8469388|0.60144925|0.7033898
189|0.6011236|0.83838385|0.60144925|0.7004219
190|0.60335195|0.83838385|0.60144925|0.7004219
191|0.6|0.83838385|0.5971223|0.697479
192|0.6022099|0.84|0.6|0.7
193|0.6043956|0.84158415|0.6028369|0.70247936
194|0.60655737|0.84313726|0.6056338|0.704918
195|0.6086956|0.8446602|0.6083916|0.7073171
196|0.6108108|0.84615386|0.6111111|0.70967746
197|0.6075269|0.84615386|0.6068966|0.70682734
198|0.6042781|0.84615386|0.60273975|0.704
199|0.60106385|0.84615386|0.5986394|0.70119524
200|0.6031746|0.84615386|0.5986394|0.70119524
201|0.6|0.84615386|0.5945946|0.6984127
202|0.5968586|0.84615386|0.590604|0.6956522
203|0.59375|0.84615386|0.58666664|0.69291335
204|0.59067357|0.84615386|0.58278143|0.69019604
205|0.59067357|0.84615386|0.58278143|0.69019604
206|0.5927835|0.84761906|0.5855263|0.692607
207|0.5897436|0.84761906|0.5816994|0.6899225
208|0.5867347|0.84761906|0.5779221|0.6872587
209|0.5837563|0.84761906|0.57419354|0.6846154
210|0.5858586|0.8490566|0.5769231|0.6870229
211|0.5879397|0.85046726|0.57961786|0.68939394
212|0.59|0.8518519|0.5822785|0.6917293
213|0.5870647|0.8518519|0.5786164|0.6891386
214|0.5891089|0.8518519|0.5786164|0.6891386
215|0.5862069|0.8518519|0.575|0.6865672
216|0.5833333|0.8518519|0.5714286|0.6840149
217|0.58536583|0.8518519|0.5714286|0.6840149
218|0.5873786|0.8518519|0.5714286|0.6840149
219|0.589372|0.853211|0.5740741|0.6863469
220|0.59134614|0.8545455|0.5766871|0.6886447
221|0.5933014|0.8558559|0.5792683|0.6909091
222|0.5904762|0.8558559|0.57575756|0.68840575
223|0.59241706|0.85714287|0.57831323|0.6906475
224|0.59241706|0.85714287|0.57831323|0.6906475
225|0.5943396|0.8584071|0.5808383|0.6928571
226|0.5915493|0.8584071|0.57738096|0.6903915
227|0.58878505|0.8584071|0.5739645|0.6879432
228|0.5860465|0.8584071|0.57058823|0.6855123
229|0.5860465|0.8584071|0.57058823|0.6855123
230|0.587963|0.8596491|0.57309943|0.6877193
231|0.58986175|0.8608696|0.5755814|0.68989545
232|0.5917431|0.86206895|0.5780347|0.6920415
233|0.5936073|0.8632479|0.5804598|0.6941581
234|0.5954546|0.86440676|0.58285713|0.69624573
235|0.5972851|0.8655462|0.58522725|0.6983051
236|0.5945946|0.85833335|0.58522725|0.6959459
237|0.59641254|0.8595041|0.5875706|0.6979866
238|0.59821427|0.8606557|0.5898876|0.6999999
239|0.6|0.86178863|0.59217876|0.7019868
240|0.6017699|0.86290324|0.59444445|0.7039474
241|0.6035242|0.864|0.5966851|0.7058824
242|0.6035242|0.864|0.5966851|0.7058824
243|0.6052632|0.86507934|0.5989011|0.7077922
244|0.60262007|0.8582677|0.5989011|0.7055016
245|0.6043478|0.8582677|0.5989011|0.7055016
246|0.6060606|0.859375|0.6010929|0.7073955
247|0.6034483|0.859375|0.59782606|0.7051282
248|0.6008584|0.859375|0.5945946|0.7028754
249|0.5982906|0.85271317|0.5945946|0.70063686
250|0.59574467|0.84615386|0.5945946|0.6984127
251|0.59322035|0.8396947|0.5945946|0.6962026
252|0.5907173|0.8333333|0.5945946|0.69400626
