N|Acuraccy|Precision|Recall|F-Measure
1|0.6666667|0.5|1.0|0.6666667
2|0.75|0.6666667|1.0|0.8
3|0.8|0.75|1.0|0.85714287
4|0.8333333|0.8|1.0|0.88888896
5|0.71428573|0.6666667|1.0|0.8
6|0.625|0.5714286|1.0|0.72727275
7|0.5555556|0.5714286|0.8|0.6666667
8|0.6|0.625|0.8333333|0.71428573
9|0.6363636|0.6666667|0.85714287|0.75
10|0.5833333|0.6|0.85714287|0.70588243
11|0.61538464|0.6|0.85714287|0.70588243
12|0.5714286|0.54545456|0.85714287|0.6666667
13|0.6|0.5833333|0.875|0.7
14|0.625|0.5833333|0.875|0.7
15|0.5882353|0.5833333|0.7777778|0.6666666
16|0.5555556|0.5833333|0.7|0.6363636
17|0.5263158|0.53846157|0.7|0.6086957
18|0.55|0.5714286|0.72727275|0.64000005
19|0.5714286|0.6|0.75|0.6666667
20|0.54545456|0.6|0.6923077|0.6428572
21|0.5217391|0.6|0.64285713|0.62068963
22|0.5|0.5625|0.64285713|0.6
23|0.48|0.5625|0.6|0.58064514
24|0.46153846|0.5294118|0.6|0.56250006
25|0.44444445|0.5|0.6|0.54545456
26|0.4642857|0.5|0.6|0.54545456
27|0.4827586|0.5|0.6|0.54545456
28|0.5|0.5|0.6|0.54545456
29|0.48387095|0.5|0.5625|0.5294118
30|0.46875|0.47368422|0.5625|0.51428574
31|0.4848485|0.47368422|0.5625|0.51428574
32|0.5|0.5|0.5882353|0.5405405
33|0.4857143|0.5|0.5555556|0.5263158
34|0.5|0.52380955|0.57894737|0.54999995
35|0.5135135|0.52380955|0.57894737|0.54999995
36|0.5263158|0.52380955|0.57894737|0.54999995
37|0.53846157|0.54545456|0.6|0.57142854
38|0.55|0.5652174|0.61904764|0.5909091
39|0.5609756|0.5652174|0.61904764|0.5909091
40|0.54761904|0.5652174|0.59090906|0.57777774
41|0.53488374|0.5652174|0.5652174|0.5652174
42|0.54545456|0.5652174|0.5652174|0.5652174
43|0.5555556|0.5833333|0.5833333|0.5833333
44|0.5652174|0.6|0.6|0.6
45|0.5652174|0.6|0.6|0.6
46|0.5744681|0.61538464|0.61538464|0.61538464
47|0.5833333|0.61538464|0.61538464|0.61538464
48|0.59183675|0.6296296|0.6296296|0.6296296
49|0.6|0.6296296|0.6296296|0.6296296
50|0.60784316|0.6296296|0.6296296|0.6296296
51|0.61538464|0.64285713|0.64285713|0.64285713
52|0.6226415|0.6551724|0.6551724|0.6551724
53|0.6296296|0.6551724|0.6551724|0.6551724
54|0.6363636|0.6666667|0.6666667|0.6666667
55|0.64285713|0.6666667|0.6666667|0.6666667
56|0.6315789|0.6451613|0.6666667|0.65573776
57|0.62068963|0.625|0.6666667|0.6451613
58|0.62711865|0.625|0.6666667|0.6451613
59|0.6333333|0.6363636|0.67741936|0.65625006
60|0.6229508|0.6363636|0.65625|0.6461538
61|0.62903225|0.64705884|0.6666667|0.65671647
62|0.61904764|0.64705884|0.64705884|0.64705884
63|0.609375|0.64705884|0.62857145|0.63768125
64|0.6|0.62857145|0.62857145|0.62857145
65|0.6060606|0.62857145|0.62857145|0.62857145
66|0.6119403|0.62857145|0.62857145|0.62857145
67|0.61764705|0.6388889|0.6388889|0.6388889
68|0.6231884|0.6486486|0.6486486|0.6486486
69|0.6142857|0.6315789|0.6486486|0.64
70|0.6197183|0.64102566|0.65789473|0.6493507
71|0.625|0.64102566|0.65789473|0.6493507
72|0.63013697|0.64102566|0.65789473|0.6493507
73|0.6351351|0.65|0.6666667|0.65822786
74|0.62666667|0.63414633|0.6666667|0.65000004
75|0.6184211|0.63414633|0.65|0.6419753
76|0.6233766|0.63414633|0.65|0.6419753
77|0.61538464|0.63414633|0.63414633|0.63414633
78|0.62025315|0.64285713|0.64285713|0.64285713
79|0.625|0.64285713|0.64285713|0.64285713
80|0.61728394|0.627907|0.64285713|0.63529414
81|0.6097561|0.627907|0.627907|0.627907
82|0.60240966|0.6136364|0.627907|0.6206897
83|0.5952381|0.6|0.627907|0.61363643
84|0.6|0.6086956|0.6363636|0.6222222
85|0.60465115|0.61702126|0.64444447|0.63043475
86|0.59770113|0.6041667|0.64444447|0.6236559
87|0.60227275|0.6041667|0.64444447|0.6236559
88|0.5955056|0.59183675|0.64444447|0.6170213
89|0.5888889|0.59183675|0.6304348|0.6105263
90|0.5824176|0.59183675|0.61702126|0.6041667
91|0.57608694|0.59183675|0.6041667|0.5979382
92|0.56989247|0.58|0.6041667|0.59183675
93|0.5744681|0.5882353|0.6122449|0.6
94|0.57894737|0.5882353|0.6122449|0.6
95|0.5729167|0.5769231|0.6122449|0.5940594
96|0.5670103|0.5769231|0.6|0.5882353
97|0.5714286|0.5849057|0.60784316|0.5961539
98|0.56565654|0.5849057|0.59615386|0.5904762
99|0.57|0.5925926|0.6037736|0.5981308
100|0.56435645|0.5925926|0.5925926|0.5925926
101|0.5686275|0.6|0.6|0.6
102|0.57281554|0.60714287|0.60714287|0.60714287
103|0.5673077|0.5964912|0.60714287|0.6017699
104|0.5619048|0.5964912|0.5964912|0.5964912
105|0.5660377|0.5964912|0.5964912|0.5964912
106|0.57009345|0.5964912|0.5964912|0.5964912
107|0.5740741|0.6034483|0.6034483|0.6034483
108|0.57798165|0.6034483|0.6034483|0.6034483
109|0.57272726|0.6034483|0.59322035|0.5982906
110|0.5765766|0.6101695|0.6|0.605042
111|0.58035713|0.6166667|0.60655737|0.61157024
112|0.5840708|0.6229508|0.61290324|0.6178862
113|0.57894737|0.6229508|0.6031746|0.6129032
114|0.5826087|0.62903225|0.609375|0.6190476
115|0.57758623|0.61904764|0.609375|0.61417323
116|0.5811966|0.625|0.61538464|0.6201551
117|0.58474576|0.63076925|0.6212121|0.6259542
118|0.5882353|0.63076925|0.6212121|0.6259542
119|0.59166664|0.63076925|0.6212121|0.6259542
120|0.58677685|0.6212121|0.6212121|0.6212121
121|0.59016395|0.6268657|0.6268657|0.6268657
122|0.5934959|0.6268657|0.6268657|0.6268657
123|0.5967742|0.63235295|0.63235295|0.63235295
124|0.6|0.6376812|0.6376812|0.6376812
125|0.6031746|0.64285713|0.64285713|0.64285713
126|0.6062992|0.64788735|0.64788735|0.64788735
127|0.609375|0.6527778|0.6527778|0.6527778
128|0.60465115|0.6438356|0.6527778|0.64827585
129|0.6076923|0.6438356|0.6527778|0.64827585
130|0.610687|0.6486486|0.65753424|0.6530612
131|0.6060606|0.6486486|0.6486486|0.6486486
132|0.60902256|0.6533333|0.6533333|0.6533333
133|0.6044776|0.6533333|0.6447368|0.6490066
134|0.6074074|0.65789473|0.64935064|0.6535948
135|0.6102941|0.65789473|0.64935064|0.6535948
136|0.6131387|0.66233766|0.65384614|0.65806454
137|0.6086956|0.66233766|0.6455696|0.6538461
138|0.6115108|0.6666667|0.65|0.65822786
139|0.60714287|0.65822786|0.65|0.6540881
140|0.6028369|0.65|0.65|0.65
141|0.59859157|0.6419753|0.65|0.6459627
142|0.6013986|0.64634144|0.654321|0.65030676
143|0.6041667|0.64634144|0.654321|0.65030676
144|0.6041667|0.64634144|0.654321|0.65030676
145|0.6068966|0.64634144|0.654321|0.65030676
146|0.60958904|0.64634144|0.654321|0.65030676
147|0.6122449|0.64634144|0.654321|0.65030676
148|0.6148649|0.64634144|0.654321|0.65030676
149|0.61744964|0.64634144|0.654321|0.65030676
150|0.62|0.64634144|0.654321|0.65030676
151|0.615894|0.64634144|0.64634144|0.64634144
152|0.6118421|0.64634144|0.6385542|0.6424242
153|0.6143791|0.64634144|0.6385542|0.6424242
154|0.6103896|0.6385542|0.6385542|0.6385542
155|0.61290324|0.6385542|0.6385542|0.6385542
156|0.61538464|0.64285713|0.64285713|0.64285713
157|0.611465|0.64285713|0.63529414|0.6390533
158|0.6075949|0.63529414|0.63529414|0.63529414
159|0.6100629|0.6395349|0.6395349|0.6395349
160|0.60625|0.6321839|0.6395349|0.6358382
161|0.60248446|0.6321839|0.6321839|0.6321839
162|0.59876543|0.625|0.6321839|0.62857145
163|0.601227|0.6292135|0.6363636|0.6327684
164|0.60365856|0.6333333|0.64044946|0.6368715
165|0.6|0.6333333|0.6333333|0.6333333
166|0.60240966|0.63736266|0.63736266|0.63736266
167|0.5988024|0.63736266|0.6304348|0.6338798
168|0.60119045|0.6413044|0.6344086|0.6378378
169|0.6035503|0.6451613|0.63829786|0.6417112
170|0.60588235|0.64893615|0.6421053|0.6455027
171|0.60818714|0.6526316|0.6458333|0.6492146
172|0.60465115|0.6458333|0.6458333|0.6458333
173|0.6069364|0.6494845|0.6494845|0.6494845
174|0.6091954|0.6530612|0.6530612|0.6530612
175|0.61142856|0.6530612|0.6530612|0.6530612
176|0.6136364|0.65656567|0.65656567|0.65656567
177|0.6158192|0.65656567|0.65656567|0.65656567
178|0.6123595|0.65|0.65656567|0.6532663
179|0.61452514|0.65346533|0.66|0.6567164
180|0.6166667|0.65346533|0.66|0.6567164
181|0.6132597|0.65346533|0.65346533|0.65346533
182|0.6098901|0.65346533|0.64705884|0.65024626
183|0.61202186|0.65346533|0.64705884|0.65024626
184|0.61413044|0.65346533|0.64705884|0.65024626
185|0.61621624|0.65346533|0.64705884|0.65024626
186|0.61290324|0.64705884|0.64705884|0.64705884
187|0.61497325|0.65048546|0.65048546|0.65048546
188|0.61497325|0.65048546|0.65048546|0.65048546
189|0.61170214|0.6442308|0.65048546|0.64734304
190|0.6137566|0.6442308|0.65048546|0.64734304
191|0.6157895|0.6442308|0.65048546|0.64734304
192|0.61256546|0.63809526|0.65048546|0.64423084
193|0.609375|0.6320755|0.65048546|0.6411483
194|0.6062176|0.62616825|0.65048546|0.63809526
195|0.6082474|0.6296296|0.65384614|0.6415094
196|0.61025643|0.6330275|0.6571429|0.6448598
197|0.60714287|0.6330275|0.6509434|0.6418605
198|0.6040609|0.6330275|0.6448598|0.63888884
199|0.6010101|0.6330275|0.6388889|0.63594466
200|0.59799|0.6330275|0.6330275|0.6330275
201|0.6|0.6330275|0.6330275|0.6330275
202|0.60199004|0.6330275|0.6330275|0.6330275
203|0.5990099|0.6330275|0.6272727|0.63013697
204|0.5960591|0.6330275|0.6216216|0.62727267
205|0.5980392|0.6363636|0.625|0.6306306
206|0.6|0.6396396|0.6283186|0.6339286
207|0.5970874|0.6396396|0.622807|0.63111115
208|0.59903383|0.6396396|0.622807|0.63111115
209|0.60096157|0.6396396|0.622807|0.63111115
210|0.6028708|0.64285713|0.62608695|0.63436127
211|0.6047619|0.6460177|0.62931037|0.6375546
212|0.6066351|0.64912283|0.63247865|0.6406927
213|0.6037736|0.64912283|0.62711865|0.63793105
214|0.6056338|0.64912283|0.62711865|0.63793105
215|0.60280377|0.64912283|0.62184876|0.6351932
216|0.60465115|0.64912283|0.62184876|0.6351932
217|0.6064815|0.64912283|0.62184876|0.6351932
218|0.6082949|0.64912283|0.62184876|0.6351932
219|0.6055046|0.6434783|0.62184876|0.63247865
220|0.60730594|0.6465517|0.625|0.6355932
221|0.6090909|0.6495727|0.6280992|0.63865554
222|0.60633487|0.6495727|0.6229508|0.6359833
223|0.6081081|0.65254235|0.62601626|0.6390042
224|0.6053812|0.65254235|0.62096775|0.6363636
225|0.6026786|0.64705884|0.62096775|0.63374484
226|0.60444444|0.64705884|0.62096775|0.63374484
227|0.6061947|0.64705884|0.62096775|0.63374484
228|0.6035242|0.64705884|0.616|0.6311475
229|0.60087717|0.64166665|0.616|0.62857145
230|0.60262007|0.6446281|0.61904764|0.631579
231|0.6043478|0.647541|0.62204725|0.6345382
232|0.6017316|0.6422764|0.62204725|0.63199997
233|0.5991379|0.63709676|0.62204725|0.62948203
234|0.5965665|0.632|0.62204725|0.6269841
235|0.5940171|0.6269841|0.62204725|0.624506
236|0.59574467|0.62992126|0.625|0.627451
237|0.59745765|0.6328125|0.627907|0.6303502
238|0.59915614|0.6356589|0.63076925|0.63320464
239|0.5966387|0.63076925|0.63076925|0.63076925
240|0.5983264|0.6335878|0.6335878|0.6335878
241|0.59583336|0.6287879|0.6335878|0.63117874
242|0.593361|0.62406015|0.6335878|0.6287879
243|0.59090906|0.619403|0.6335878|0.62641513
244|0.5925926|0.62222224|0.6363636|0.62921345
245|0.5942623|0.62222224|0.6363636|0.62921345
246|0.59183675|0.61764705|0.6363636|0.6268656
247|0.58943087|0.61764705|0.6315789|0.62453526
248|0.5910931|0.61764705|0.6315789|0.62453526
249|0.58870965|0.6131387|0.6315789|0.62222224
250|0.5863454|0.6086956|0.6315789|0.61992615
251|0.588|0.6115108|0.63432837|0.62271065
252|0.58565736|0.60714287|0.63432837|0.6204379
253|0.5873016|0.60714287|0.63432837|0.6204379
254|0.58498025|0.60714287|0.6296296|0.6181818
255|0.5826772|0.60714287|0.625|0.615942
256|0.58431375|0.60714287|0.625|0.615942
257|0.5859375|0.60714287|0.625|0.615942
258|0.5875486|0.60714287|0.625|0.615942
259|0.58914727|0.60714287|0.625|0.615942
260|0.5868726|0.60714287|0.620438|0.61371845
261|0.5884615|0.6099291|0.6231884|0.61648744
262|0.5900383|0.6099291|0.6231884|0.61648744
263|0.59160304|0.6126761|0.62589926|0.6192171
264|0.5931559|0.6126761|0.62589926|0.6192171
265|0.59090906|0.6083916|0.62589926|0.61702126
266|0.58867925|0.6083916|0.62142855|0.614841
267|0.5864662|0.6083916|0.61702126|0.612676
268|0.58801496|0.6083916|0.61702126|0.612676
269|0.5895522|0.6083916|0.61702126|0.612676
270|0.59107804|0.6111111|0.6197183|0.6153846
271|0.5925926|0.6111111|0.6197183|0.6153846
272|0.5904059|0.6111111|0.61538464|0.6132404
273|0.5919118|0.6111111|0.61538464|0.6132404
274|0.5934066|0.6137931|0.6180556|0.6159169
275|0.5912409|0.6137931|0.6137931|0.6137931
276|0.5890909|0.60958904|0.6137931|0.61168385
277|0.5905797|0.6122449|0.6164383|0.61433446
278|0.59205776|0.6148649|0.61904764|0.6169492
279|0.5935252|0.61744964|0.6216216|0.6195286
280|0.5949821|0.62|0.62416106|0.62207353
281|0.5964286|0.6225166|0.62666667|0.62458473
282|0.59786475|0.625|0.62913907|0.6270627
283|0.59574467|0.62091506|0.62913907|0.625
284|0.59363955|0.6168831|0.62913907|0.62295073
285|0.5950704|0.6168831|0.62913907|0.62295073
286|0.5964912|0.6168831|0.62913907|0.62295073
287|0.5979021|0.6168831|0.62913907|0.62295073
288|0.5993031|0.6168831|0.62913907|0.62295073
289|0.5972222|0.6168831|0.625|0.62091506
290|0.5951557|0.6168831|0.62091506|0.6188925
291|0.59310347|0.6168831|0.6168831|0.6168831
292|0.59450173|0.61935484|0.61935484|0.61935484
293|0.5958904|0.61935484|0.61935484|0.61935484
294|0.59726965|0.61935484|0.61935484|0.61935484
295|0.5952381|0.61538464|0.61935484|0.61736333
296|0.59322035|0.611465|0.61935484|0.6153846
297|0.5945946|0.613924|0.6217949|0.6178344
298|0.5959596|0.613924|0.6217949|0.6178344
299|0.59731543|0.613924|0.6217949|0.6178344
300|0.5986622|0.6163522|0.6242038|0.62025315
301|0.6|0.6163522|0.6242038|0.62025315
302|0.6|0.6163522|0.6242038|0.62025315
303|0.59800667|0.6163522|0.62025315|0.6182965
304|0.59933776|0.61875|0.6226415|0.6206897
305|0.6006601|0.621118|0.625|0.62305295
306|0.5986842|0.621118|0.621118|0.621118
307|0.6|0.6234568|0.6234568|0.6234568
308|0.5980392|0.6196319|0.6234568|0.6215384
309|0.59934855|0.6219512|0.6257669|0.6238532
310|0.60064936|0.6242424|0.6280488|0.6261398
311|0.60194176|0.62650603|0.630303|0.62839884
312|0.6|0.62650603|0.62650603|0.62650603
313|0.6012862|0.6287425|0.6287425|0.6287425
314|0.6025641|0.63095236|0.63095236|0.63095236
315|0.600639|0.62721896|0.63095236|0.6290801
316|0.6019108|0.62941176|0.6331361|0.63126844
317|0.6|0.62941176|0.62941176|0.62941176
318|0.60126585|0.6315789|0.6315789|0.6315789
319|0.6025237|0.63372093|0.63372093|0.63372093
320|0.6037736|0.63583815|0.63583815|0.63583815
321|0.6050157|0.63793105|0.63793105|0.63793105
322|0.60625|0.63793105|0.63793105|0.63793105
323|0.60625|0.63793105|0.63793105|0.63793105
324|0.60436136|0.63793105|0.6342857|0.63610315
325|0.60559005|0.64|0.6363636|0.6381766
326|0.60681117|0.64|0.6363636|0.6381766
327|0.6080247|0.64204544|0.6384181|0.64022666
328|0.60615385|0.6384181|0.6384181|0.6384181
329|0.607362|0.64044946|0.64044946|0.64044946
330|0.6055046|0.64044946|0.6368715|0.6386555
331|0.60670733|0.6424581|0.6388889|0.6406685
332|0.6048632|0.6424581|0.6353591|0.63888884
333|0.6060606|0.64444447|0.63736266|0.640884
334|0.6042296|0.640884|0.63736266|0.6391185
335|0.60240966|0.63736266|0.63736266|0.63736266
336|0.6006006|0.6338798|0.63736266|0.6356165
337|0.5988024|0.6304348|0.63736266|0.6338798
338|0.6|0.63243246|0.6393443|0.6358696
339|0.60119045|0.63243246|0.6393443|0.6358696
340|0.6023739|0.63243246|0.6393443|0.6358696
341|0.6035503|0.6344086|0.6413044|0.6378378
342|0.60471976|0.6344086|0.6413044|0.6378378
343|0.60588235|0.6363636|0.64324325|0.63978493
344|0.60703814|0.63829786|0.6451613|0.6417112
345|0.60818714|0.64021164|0.64705884|0.643617
346|0.606414|0.63684213|0.64705884|0.64190984
347|0.60755813|0.63874346|0.64893615|0.6437994
348|0.6057971|0.6354167|0.64893615|0.64210534
349|0.6040462|0.63212436|0.64893615|0.64041996
350|0.6051873|0.63212436|0.64893615|0.64041996
351|0.6063218|0.63212436|0.64893615|0.64041996
352|0.6074498|0.6340206|0.6507937|0.6422976
353|0.60571426|0.63076925|0.6507937|0.64062506
354|0.6039886|0.63076925|0.64736843|0.6389611
355|0.60227275|0.63076925|0.6439791|0.63730574
356|0.60339946|0.63076925|0.6439791|0.63730574
357|0.6045198|0.63076925|0.6439791|0.63730574
358|0.6045198|0.63076925|0.6439791|0.63730574
359|0.6056338|0.63265306|0.6458333|0.63917524
360|0.60393256|0.6294416|0.6458333|0.6375321
361|0.6022409|0.6262626|0.6458333|0.63589746
362|0.60335195|0.6262626|0.6458333|0.63589746
363|0.60167134|0.6262626|0.64248705|0.6342711
364|0.6027778|0.6262626|0.64248705|0.6342711
365|0.601108|0.6231156|0.64248705|0.6326531
366|0.6022099|0.625|0.6443299|0.6345178
367|0.60330576|0.625|0.6443299|0.6345178
368|0.60164833|0.62189054|0.6443299|0.6329114
369|0.6|0.6188119|0.6443299|0.6313131
