N|Acuraccy|Precision|Recall|F-Measure
1|0.6666667|0.5|1.0|0.6666667
2|0.75|0.6666667|1.0|0.8
3|0.8|0.75|1.0|0.85714287
4|0.6666667|0.6|1.0|0.75
5|0.5714286|0.5|1.0|0.6666667
6|0.5|0.42857143|1.0|0.59999996
7|0.5555556|0.42857143|1.0|0.59999996
8|0.5|0.375|1.0|0.54545456
9|0.54545456|0.44444445|1.0|0.61538464
10|0.5|0.4|1.0|0.5714286
11|0.53846157|0.4|1.0|0.5714286
12|0.5|0.36363637|1.0|0.53333336
13|0.46666667|0.33333334|1.0|0.5
14|0.5|0.33333334|1.0|0.5
15|0.5294118|0.33333334|1.0|0.5
16|0.5|0.33333334|0.8|0.47058827
17|0.47368422|0.30769232|0.8|0.44444445
18|0.5|0.35714287|0.8333333|0.5
19|0.47619048|0.33333334|0.8333333|0.4761905
20|0.5|0.33333334|0.8333333|0.4761905
21|0.5217391|0.33333334|0.8333333|0.4761905
22|0.5|0.3125|0.8333333|0.45454547
23|0.52|0.3125|0.8333333|0.45454547
24|0.5|0.29411766|0.8333333|0.43478262
25|0.4814815|0.2777778|0.8333333|0.41666666
26|0.5|0.2777778|0.8333333|0.41666666
27|0.51724136|0.2777778|0.8333333|0.41666666
28|0.5|0.2777778|0.71428573|0.40000004
29|0.48387095|0.2777778|0.625|0.3846154
30|0.46875|0.2631579|0.625|0.37037036
31|0.4848485|0.2631579|0.625|0.37037036
32|0.5|0.3|0.6666667|0.41379312
33|0.4857143|0.3|0.6|0.4
34|0.4722222|0.2857143|0.6|0.38709682
35|0.45945945|0.2857143|0.54545456|0.375
36|0.47368422|0.2857143|0.54545456|0.375
37|0.4871795|0.3181818|0.5833333|0.41176468
38|0.5|0.3478261|0.61538464|0.44444448
39|0.4878049|0.3478261|0.5714286|0.43243247
40|0.47619048|0.3478261|0.53333336|0.42105263
41|0.4651163|0.3478261|0.5|0.4102564
42|0.47727272|0.3478261|0.5|0.4102564
43|0.4888889|0.375|0.5294118|0.4390244
44|0.4888889|0.375|0.5294118|0.4390244
45|0.5|0.4|0.5555556|0.46511632
46|0.5106383|0.42307693|0.57894737|0.4888889
47|0.5|0.42307693|0.55|0.47826087
48|0.5102041|0.44444445|0.5714286|0.5
49|0.5|0.44444445|0.54545456|0.48979592
50|0.49019608|0.44444445|0.5217391|0.48000002
51|0.5|0.4642857|0.5416667|0.5
52|0.49056605|0.44827586|0.5416667|0.49056605
53|0.5|0.44827586|0.5416667|0.49056605
54|0.4909091|0.43333334|0.5416667|0.4814815
55|0.48214287|0.43333334|0.52|0.47272727
56|0.47368422|0.41935483|0.52|0.4642857
57|0.4827586|0.4375|0.53846157|0.4827586
58|0.4915254|0.4375|0.53846157|0.4827586
59|0.5|0.45454547|0.5555556|0.5
60|0.5081967|0.45454547|0.5555556|0.5
61|0.516129|0.47058824|0.5714286|0.516129
62|0.50793654|0.47058824|0.55172414|0.5079365
63|0.515625|0.47058824|0.55172414|0.5079365
64|0.50769234|0.45714286|0.55172414|0.5
65|0.5151515|0.45714286|0.55172414|0.5
66|0.52238804|0.45714286|0.55172414|0.5
67|0.5147059|0.44444445|0.55172414|0.49230766
68|0.5072464|0.43243244|0.55172414|0.48484847
69|0.5|0.42105263|0.55172414|0.47761193
70|0.5070422|0.43589744|0.56666666|0.49275362
71|0.5138889|0.43589744|0.56666666|0.49275362
72|0.5205479|0.43589744|0.56666666|0.49275362
73|0.5135135|0.425|0.56666666|0.4857143
74|0.52|0.4390244|0.58064514|0.5
75|0.5131579|0.4390244|0.5625|0.49315065
76|0.5194805|0.4390244|0.5625|0.49315065
77|0.525641|0.4390244|0.5625|0.49315065
78|0.51898736|0.42857143|0.5625|0.48648646
79|0.525|0.42857143|0.5625|0.48648646
80|0.5308642|0.44186047|0.57575756|0.5
81|0.5243902|0.44186047|0.5588235|0.4935065
82|0.5180723|0.4318182|0.5588235|0.4871795
83|0.52380955|0.44444445|0.5714286|0.5
84|0.5294118|0.45652175|0.5833333|0.51219517
85|0.53488374|0.4680851|0.5945946|0.5238095
86|0.54022986|0.47916666|0.6052632|0.5348837
87|0.54545456|0.47916666|0.6052632|0.5348837
88|0.53932583|0.46938777|0.6052632|0.5287356
89|0.54444444|0.46938777|0.6052632|0.5287356
90|0.5494506|0.46938777|0.6052632|0.5287356
91|0.5543478|0.46938777|0.6052632|0.5287356
92|0.5483871|0.46|0.6052632|0.5227273
93|0.5425532|0.4509804|0.6052632|0.5168539
94|0.5473684|0.4509804|0.6052632|0.5168539
95|0.5416667|0.44230768|0.6052632|0.51111114
96|0.5463917|0.44230768|0.6052632|0.51111114
97|0.5510204|0.4528302|0.61538464|0.5217391
98|0.5555556|0.4528302|0.61538464|0.5217391
99|0.56|0.46296296|0.625|0.5319149
100|0.55445546|0.46296296|0.6097561|0.52631575
101|0.5588235|0.47272727|0.61904764|0.5360825
102|0.5533981|0.4642857|0.61904764|0.53061223
103|0.5480769|0.45614034|0.61904764|0.5252525
104|0.54285717|0.45614034|0.60465115|0.52
105|0.5471698|0.45614034|0.60465115|0.52
106|0.5420561|0.45614034|0.59090906|0.51485145
107|0.537037|0.44827586|0.59090906|0.50980395
108|0.5321101|0.44827586|0.5777778|0.5048544
109|0.5272727|0.44827586|0.5652174|0.49999994
110|0.5315315|0.45762712|0.5744681|0.5094339
111|0.52678573|0.45|0.5744681|0.5046729
112|0.5221239|0.44262296|0.5744681|0.5
113|0.51754385|0.44262296|0.5625|0.4954129
114|0.51754385|0.44262296|0.5625|0.4954129
115|0.5217391|0.4516129|0.5714286|0.5045045
116|0.5217391|0.4516129|0.5714286|0.5045045
117|0.51724136|0.44444445|0.5714286|0.5
118|0.52136755|0.44444445|0.5714286|0.5
119|0.5254237|0.44444445|0.5714286|0.5
120|0.52100843|0.4375|0.5714286|0.49557525
121|0.51666665|0.43076923|0.5714286|0.49122807
122|0.5206612|0.43076923|0.5714286|0.49122807
123|0.5163934|0.42424244|0.5714286|0.48695654
124|0.5163934|0.42424244|0.5714286|0.48695654
125|0.5203252|0.43283582|0.58|0.49572656
126|0.5203252|0.43283582|0.58|0.49572656
127|0.516129|0.42647058|0.58|0.4915254
128|0.512|0.42028984|0.58|0.48739496
129|0.515873|0.42028984|0.58|0.48739496
130|0.51968503|0.42857143|0.5882353|0.4958678
131|0.515625|0.42857143|0.5769231|0.4918033
132|0.51937985|0.43661973|0.5849057|0.50000006
133|0.5153846|0.43661973|0.5740741|0.49600002
134|0.5114504|0.43055555|0.5740741|0.49206352
135|0.5151515|0.43055555|0.5740741|0.49206352
136|0.518797|0.43835616|0.58181816|0.5
137|0.52238804|0.43835616|0.58181816|0.5
138|0.5185185|0.43243244|0.58181816|0.496124
139|0.5147059|0.42666668|0.58181816|0.4923077
140|0.5109489|0.42105263|0.58181816|0.48854962
141|0.5072464|0.41558442|0.58181816|0.48484847
142|0.51079136|0.42307693|0.58928573|0.4925373
143|0.51428574|0.42307693|0.58928573|0.4925373
144|0.5177305|0.43037975|0.5964912|0.5
145|0.52112675|0.43037975|0.5964912|0.5
146|0.5244755|0.43037975|0.5964912|0.5
147|0.5277778|0.43037975|0.5964912|0.5
148|0.53103447|0.43037975|0.5964912|0.5
149|0.5273973|0.43037975|0.5862069|0.49635038
150|0.53061223|0.43037975|0.5862069|0.49635038
151|0.5337838|0.43037975|0.5862069|0.49635038
152|0.5302013|0.43037975|0.5762712|0.49275362
153|0.53333336|0.43037975|0.5762712|0.49275362
154|0.5298013|0.425|0.5762712|0.4892086
155|0.53289473|0.425|0.5762712|0.4892086
156|0.53594774|0.43209878|0.5833333|0.49645388
157|0.53896105|0.43209878|0.5833333|0.49645388
158|0.5354839|0.42682928|0.5833333|0.49295774
159|0.53205127|0.42168674|0.5833333|0.4895105
160|0.52866244|0.41666666|0.5833333|0.48611107
161|0.5316456|0.41666666|0.5833333|0.48611107
162|0.5283019|0.4117647|0.5833333|0.48275864
163|0.53125|0.41860464|0.59016395|0.48979592
164|0.5341615|0.42528737|0.5967742|0.49664432
165|0.5308642|0.42528737|0.5873016|0.49333334
166|0.5276074|0.42045453|0.5873016|0.49006623
167|0.5276074|0.42045453|0.5873016|0.49006623
168|0.5304878|0.42696628|0.59375|0.496732
169|0.5272727|0.42222223|0.59375|0.4935065
170|0.5301205|0.42857143|0.6|0.5
171|0.5269461|0.42391303|0.6|0.4968153
172|0.52380955|0.41935483|0.6|0.49367088
173|0.52071005|0.41489363|0.6|0.49056607
174|0.5176471|0.4105263|0.6|0.4875
175|0.5204678|0.4105263|0.6|0.4875
176|0.51744187|0.40625|0.6|0.48447204
177|0.51445085|0.40625|0.59090906|0.4814815
178|0.5114943|0.40206185|0.59090906|0.4785276
179|0.51428574|0.40816328|0.5970149|0.4848485
180|0.51704544|0.40816328|0.5970149|0.4848485
181|0.519774|0.40816328|0.5970149|0.4848485
182|0.5224719|0.40816328|0.5970149|0.4848485
183|0.5251397|0.40816328|0.5970149|0.4848485
184|0.5277778|0.40816328|0.5970149|0.4848485
185|0.53038675|0.40816328|0.5970149|0.4848485
186|0.52747256|0.4040404|0.5970149|0.48192772
187|0.5300546|0.41|0.60294116|0.48809522
188|0.52717394|0.4059406|0.60294116|0.48520708
189|0.5243243|0.4019608|0.60294116|0.48235297
190|0.5268817|0.4019608|0.60294116|0.48235297
191|0.5240642|0.4019608|0.5942029|0.47953215
192|0.5212766|0.39805827|0.5942029|0.47674417
193|0.5185185|0.39423078|0.5942029|0.47398844
194|0.51578945|0.3904762|0.5942029|0.47126433
195|0.513089|0.38679245|0.5942029|0.46857142
196|0.513089|0.38679245|0.5942029|0.46857142
197|0.515625|0.38679245|0.5942029|0.46857142
198|0.5181347|0.38679245|0.5942029|0.46857142
199|0.52061856|0.38679245|0.5942029|0.46857142
200|0.52307695|0.38679245|0.5942029|0.46857142
201|0.5255102|0.38679245|0.5942029|0.46857142
202|0.52791876|0.38679245|0.5942029|0.46857142
203|0.530303|0.38679245|0.5942029|0.46857142
204|0.53266335|0.38679245|0.5942029|0.46857142
205|0.53|0.38317758|0.5942029|0.46590906
206|0.5323383|0.3888889|0.6|0.47191012
207|0.52970296|0.3888889|0.5915493|0.46927375
208|0.52970296|0.3888889|0.5915493|0.46927375
209|0.5270936|0.3888889|0.5833333|0.46666667
210|0.5245098|0.3853211|0.5833333|0.4640884
211|0.5219512|0.38181818|0.5833333|0.46153843
212|0.52427185|0.3873874|0.5890411|0.4673913
213|0.52657|0.3873874|0.5890411|0.4673913
214|0.52884614|0.3873874|0.5890411|0.4673913
215|0.5263158|0.3873874|0.5810811|0.46486488
216|0.52380955|0.3873874|0.5733333|0.4623656
217|0.521327|0.3873874|0.56578946|0.45989305
218|0.5235849|0.3873874|0.56578946|0.45989305
219|0.52582157|0.39285713|0.5714286|0.46560848
220|0.5233645|0.38938054|0.5714286|0.46315795
221|0.52093023|0.3859649|0.5714286|0.46073297
222|0.5231481|0.3859649|0.5714286|0.46073297
223|0.52073735|0.38260868|0.5714286|0.4583333
224|0.5229358|0.38260868|0.5714286|0.4583333
225|0.5205479|0.37931034|0.5714286|0.45595858
226|0.52272725|0.37931034|0.5714286|0.45595858
227|0.520362|0.37931034|0.5641026|0.45360827
228|0.518018|0.37931034|0.556962|0.45128202
229|0.5156951|0.37606838|0.556962|0.44897962
230|0.51339287|0.37288135|0.556962|0.44670048
231|0.51111114|0.3697479|0.556962|0.44444445
232|0.50884956|0.36666667|0.556962|0.44221106
233|0.50660795|0.36363637|0.556962|0.44
234|0.50438595|0.36065573|0.556962|0.43781093
235|0.5065502|0.36585367|0.5625|0.44334978
236|0.5065502|0.36585367|0.5625|0.44334978
237|0.5043478|0.36290324|0.5625|0.44117647
238|0.5064935|0.368|0.56790125|0.44660196
239|0.50431037|0.36507937|0.56790125|0.44444445
240|0.5064378|0.37007874|0.5731707|0.44976076
241|0.50427353|0.3671875|0.5731707|0.44761905
242|0.50212765|0.36434108|0.5731707|0.44549763
243|0.5|0.36153847|0.5731707|0.44339624
244|0.4978903|0.35877863|0.5731707|0.44131455
245|0.5|0.35877863|0.5731707|0.44131455
246|0.49790794|0.3560606|0.5731707|0.43925232
247|0.5|0.3560606|0.5731707|0.43925232
248|0.4979253|0.3560606|0.56626505|0.43720928
249|0.49586776|0.35338345|0.56626505|0.43518516
250|0.4979424|0.35820895|0.5714286|0.44036698
251|0.5|0.36296296|0.5764706|0.44545457
252|0.5020408|0.36764705|0.5813953|0.45045042
253|0.50406504|0.36764705|0.5813953|0.45045042
254|0.5060729|0.36764705|0.5813953|0.45045042
255|0.5080645|0.36764705|0.5813953|0.45045042
256|0.51004016|0.36764705|0.5813953|0.45045042
257|0.508|0.36764705|0.57471263|0.44843048
258|0.5099602|0.36764705|0.57471263|0.44843048
259|0.5119048|0.36764705|0.57471263|0.44843048
260|0.513834|0.36764705|0.57471263|0.44843048
261|0.511811|0.3649635|0.57471263|0.44642854
262|0.5137255|0.3649635|0.57471263|0.44642854
263|0.515625|0.36956522|0.57954544|0.45132747
264|0.51361865|0.36956522|0.5730337|0.44933918
265|0.5116279|0.36690646|0.5730337|0.4473684
266|0.5096525|0.36690646|0.56666666|0.44541484
267|0.5096525|0.36690646|0.56666666|0.44541484
268|0.50769234|0.36690646|0.5604396|0.44347826
269|0.5095785|0.36690646|0.5604396|0.44347826
270|0.5114504|0.37142858|0.5652174|0.44827583
271|0.513308|0.37142858|0.5652174|0.44827583
272|0.5151515|0.37142858|0.5652174|0.44827583
273|0.5169811|0.37142858|0.5652174|0.44827583
274|0.518797|0.37588653|0.56989247|0.4529915
275|0.52059925|0.37588653|0.56989247|0.4529915
276|0.51865673|0.37323943|0.56989247|0.4510638
277|0.51672864|0.37062937|0.56989247|0.44915253
278|0.5185185|0.375|0.5744681|0.4537815
279|0.5202952|0.37931034|0.57894737|0.45833334
280|0.5183824|0.37671232|0.57894737|0.4564315
281|0.51648355|0.37414965|0.57894737|0.45454544
282|0.51459855|0.3716216|0.57894737|0.4526749
283|0.51272726|0.3691275|0.57894737|0.45081967
284|0.51086956|0.36666667|0.57894737|0.4489796
285|0.51263535|0.36666667|0.57894737|0.4489796
286|0.5143885|0.36666667|0.57894737|0.4489796
287|0.516129|0.36666667|0.57894737|0.4489796
288|0.51428574|0.36666667|0.5729167|0.4471545
289|0.5160142|0.36666667|0.5729167|0.4471545
290|0.5177305|0.36666667|0.5729167|0.4471545
291|0.5159011|0.36666667|0.5670103|0.44534412
292|0.5140845|0.3642384|0.5670103|0.44354838
293|0.5122807|0.3642384|0.56122446|0.44176707
294|0.513986|0.3642384|0.56122446|0.44176707
295|0.5121951|0.3618421|0.56122446|0.43999997
296|0.5104167|0.35947713|0.56122446|0.438247
297|0.50865054|0.35714287|0.56122446|0.4365079
298|0.50689656|0.35714287|0.5555556|0.43478262
299|0.50859106|0.35714287|0.5555556|0.43478262
300|0.5068493|0.3548387|0.5555556|0.43307084
301|0.5085324|0.3548387|0.5555556|0.43307084
302|0.5102041|0.3548387|0.5555556|0.43307084
303|0.5118644|0.3548387|0.5555556|0.43307084
304|0.5101351|0.3525641|0.5555556|0.43137255
305|0.5084175|0.35031846|0.5555556|0.42968753
306|0.5067114|0.35031846|0.55|0.42801556
307|0.50501674|0.34810126|0.55|0.42635658
308|0.50666666|0.35220125|0.55445546|0.43076923
309|0.50830567|0.35625|0.5588235|0.43511447
310|0.5066225|0.35403726|0.5588235|0.43346006
311|0.5049505|0.35185185|0.5588235|0.43181816
312|0.50328946|0.35185185|0.5533981|0.43018866
313|0.50163937|0.34969324|0.5533981|0.42857143
314|0.503268|0.35365853|0.5576923|0.4328358
315|0.50162864|0.35151514|0.5576923|0.43122676
316|0.5032467|0.3554217|0.5619048|0.4354244
317|0.50161815|0.3554217|0.5566038|0.43382356
318|0.5|0.35329342|0.5566038|0.43223444
319|0.49839228|0.35119048|0.5566038|0.43065697
320|0.5|0.35502958|0.5607477|0.43478262
321|0.49840257|0.3529412|0.5607477|0.433213
322|0.5|0.3529412|0.5607477|0.433213
323|0.50158733|0.35672516|0.5648148|0.437276
324|0.5031645|0.35672516|0.5648148|0.437276
325|0.50473183|0.3604651|0.56880736|0.44128114
326|0.5062893|0.3604651|0.56880736|0.44128114
327|0.507837|0.36416185|0.57272726|0.44522968
328|0.50625|0.36206895|0.57272726|0.44366196
329|0.5046729|0.36|0.57272726|0.44210526
330|0.50621116|0.36|0.57272726|0.44210526
331|0.50773996|0.36363637|0.5765766|0.44599307
332|0.50617284|0.36363637|0.5714286|0.44444445
333|0.50461537|0.36158192|0.5714286|0.4429066
334|0.5030675|0.35955057|0.5714286|0.44137934
335|0.5045872|0.36312848|0.57522124|0.44520548
336|0.5030488|0.3611111|0.57522124|0.443686
337|0.50151974|0.35911602|0.57522124|0.44217688
338|0.5030303|0.36263737|0.57894737|0.44594595
339|0.50453174|0.36263737|0.57894737|0.44594595
340|0.5060241|0.36263737|0.57894737|0.44594595
341|0.5075075|0.36612022|0.5826087|0.4496644
342|0.50898206|0.36612022|0.5826087|0.4496644
343|0.5074627|0.36413044|0.5826087|0.44816056
344|0.5089286|0.36756757|0.5862069|0.4518273
345|0.51038575|0.37096775|0.5897436|0.45544556
346|0.5088757|0.36898395|0.5897436|0.45394737
347|0.50737464|0.36702126|0.5897436|0.452459
348|0.5058824|0.36507937|0.5897436|0.4509804
349|0.5043988|0.3631579|0.5897436|0.44951144
350|0.50584793|0.3631579|0.5897436|0.44951144
351|0.50728863|0.3631579|0.5897436|0.44951144
352|0.50872093|0.36649215|0.59322035|0.45307446
353|0.51014495|0.36979166|0.5966387|0.45659164
354|0.5115607|0.36979166|0.5966387|0.45659164
355|0.5100865|0.36979166|0.59166664|0.4551282
356|0.5114943|0.36979166|0.59166664|0.4551282
357|0.51002866|0.36979166|0.58677685|0.4536741
358|0.5114286|0.373057|0.59016395|0.45714286
359|0.5099715|0.371134|0.59016395|0.4556962
360|0.5113636|0.37435898|0.5934959|0.4591195
361|0.509915|0.37244898|0.5934959|0.45768023
362|0.5084746|0.37244898|0.58870965|0.45625
363|0.50985914|0.37244898|0.58870965|0.45625
364|0.50842696|0.37244898|0.584|0.45482868
365|0.50700283|0.37055838|0.584|0.45341614
366|0.50558656|0.36868685|0.584|0.45201236
367|0.5069638|0.36868685|0.584|0.45201236
368|0.5083333|0.37185928|0.5873016|0.45538458
369|0.5069252|0.37|0.5873016|0.45398772
370|0.5055249|0.3681592|0.5873016|0.4525994
