N|TP|FP|FN|TN|Acuraccy|Precision|Recall|F-Measure
1|2|0|1|0|1.0|1.0|1.0|1.0
2|3|0|1|0|1.0|1.0|1.0|1.0
3|3|1|1|0|0.8|0.75|1.0|0.85714287
4|4|1|1|0|0.8333333|0.8|1.0|0.88888896
5|5|1|1|0|0.85714287|0.8333333|1.0|0.90909094
6|6|1|1|0|0.875|0.85714287|1.0|0.9230769
7|7|1|1|0|0.8888889|0.875|1.0|0.93333334
8|8|1|1|0|0.9|0.8888889|1.0|0.94117653
9|9|1|1|0|0.90909094|0.9|1.0|0.9473684
10|10|1|1|0|0.9166667|0.90909094|1.0|0.95238096
11|11|1|1|0|0.9230769|0.9166667|1.0|0.95652175
12|12|1|1|0|0.9285714|0.9230769|1.0|0.96000004
13|13|1|1|0|0.93333334|0.9285714|1.0|0.9629629
14|14|1|1|0|0.9375|0.93333334|1.0|0.9655172
15|15|1|1|0|0.9411765|0.9375|1.0|0.9677419
16|16|1|1|0|0.9444444|0.9411765|1.0|0.969697
17|17|1|1|0|0.94736844|0.9444444|1.0|0.9714286
18|18|1|1|0|0.95|0.94736844|1.0|0.972973
19|18|2|1|0|0.9047619|0.9|1.0|0.9473684
20|18|3|1|0|0.8636364|0.85714287|1.0|0.9230769
21|19|3|1|0|0.8695652|0.8636364|1.0|0.9268293
22|20|3|1|0|0.875|0.8695652|1.0|0.9302325
23|21|3|1|0|0.88|0.875|1.0|0.93333334
24|21|4|1|0|0.84615386|0.84|1.0|0.9130435
25|22|4|1|0|0.8518519|0.84615386|1.0|0.9166667
26|23|4|1|0|0.85714287|0.8518519|1.0|0.92
27|24|4|1|0|0.86206895|0.85714287|1.0|0.9230769
28|25|4|1|0|0.8666667|0.86206895|1.0|0.92592597
29|25|5|1|0|0.83870965|0.8333333|1.0|0.90909094
30|26|5|1|0|0.84375|0.83870965|1.0|0.91228074
31|27|5|1|0|0.8484849|0.84375|1.0|0.91525424
32|28|5|1|0|0.85294116|0.8484849|1.0|0.9180328
33|29|5|1|0|0.85714287|0.85294116|1.0|0.9206349
34|30|5|1|0|0.8611111|0.85714287|1.0|0.9230769
35|30|5|1|1|0.8378378|0.85714287|0.9677419|0.9090909
36|31|5|1|1|0.84210527|0.8611111|0.96875|0.9117647
37|32|5|1|1|0.84615386|0.8648649|0.969697|0.9142858
38|33|5|1|1|0.85|0.8684211|0.9705882|0.9166666
39|34|5|1|1|0.85365856|0.8717949|0.9714286|0.9189189
40|35|5|1|1|0.85714287|0.875|0.9722222|0.92105263
41|36|5|1|1|0.8604651|0.8780488|0.972973|0.9230769
42|37|5|1|1|0.8636364|0.88095236|0.9736842|0.92499995
43|38|5|1|1|0.8666667|0.88372093|0.974359|0.9268293
44|39|5|1|1|0.8695652|0.8863636|0.975|0.92857146
45|40|5|1|1|0.87234044|0.8888889|0.9756098|0.93023264
46|41|5|1|1|0.875|0.8913044|0.97619045|0.9318182
47|42|5|1|1|0.877551|0.89361703|0.9767442|0.93333334
48|42|6|1|1|0.86|0.875|0.9767442|0.9230769
49|43|6|1|1|0.8627451|0.877551|0.97727275|0.9247312
50|43|7|1|1|0.84615386|0.86|0.97727275|0.9148936
51|44|7|1|1|0.8490566|0.8627451|0.9777778|0.9166666
52|45|7|1|1|0.8518519|0.86538464|0.9782609|0.9183673
53|46|7|1|1|0.8545455|0.8679245|0.9787234|0.91999996
54|47|7|1|1|0.85714287|0.8703704|0.9791667|0.92156863
55|48|7|1|1|0.8596491|0.8727273|0.97959185|0.9230769
56|48|7|1|2|0.8448276|0.8727273|0.96|0.9142857
57|48|7|1|3|0.8305085|0.8727273|0.9411765|0.9056604
58|48|7|1|4|0.81666666|0.8727273|0.9230769|0.89719623
59|49|7|1|4|0.8196721|0.875|0.9245283|0.89908254
60|49|7|1|5|0.8064516|0.875|0.9074074|0.8909091
61|50|7|1|5|0.8095238|0.877193|0.90909094|0.8928571
62|50|8|1|5|0.796875|0.86206895|0.90909094|0.88495576
63|51|8|1|5|0.8|0.86440676|0.91071427|0.8869565
64|52|8|1|5|0.8030303|0.8666667|0.9122807|0.8888889
65|52|8|1|6|0.7910448|0.8666667|0.8965517|0.88135594
66|53|8|1|6|0.7941176|0.86885244|0.89830506|0.88333327
67|54|8|1|6|0.79710144|0.87096775|0.9|0.88524586
68|55|8|1|6|0.8|0.8730159|0.90163934|0.88709676
69|56|8|1|6|0.8028169|0.875|0.9032258|0.88888884
70|56|9|1|6|0.7916667|0.86153847|0.9032258|0.8818897
71|57|9|1|6|0.79452056|0.8636364|0.9047619|0.88372093
72|58|9|1|6|0.7972973|0.86567163|0.90625|0.88549614
73|58|10|1|6|0.7866667|0.85294116|0.90625|0.8787879
74|58|11|1|6|0.7763158|0.8405797|0.90625|0.8721804
75|59|11|1|6|0.77922076|0.8428571|0.9076923|0.8740741
76|60|11|1|6|0.78205127|0.8450704|0.90909094|0.8759124
77|61|11|1|6|0.7848101|0.8472222|0.9104478|0.8776979
78|62|11|1|6|0.7875|0.84931505|0.9117647|0.87943256
79|63|11|1|6|0.79012346|0.8513514|0.9130435|0.88111895
80|64|11|1|6|0.79268295|0.85333335|0.9142857|0.8827586
81|65|11|1|6|0.79518074|0.8552632|0.91549295|0.88435376
82|66|11|1|6|0.79761904|0.85714287|0.9166667|0.8859061
83|67|11|1|6|0.8|0.85897434|0.91780823|0.88741726
84|68|11|1|6|0.8023256|0.8607595|0.9189189|0.8888889
85|69|11|1|6|0.8045977|0.8625|0.92|0.89032257
86|70|11|1|6|0.8068182|0.86419755|0.92105263|0.89171976
87|71|11|1|6|0.80898875|0.86585367|0.9220779|0.8930818
88|72|11|1|6|0.8111111|0.8674699|0.9230769|0.8944099
89|73|11|1|6|0.8131868|0.86904764|0.9240506|0.8957056
90|73|12|1|6|0.8043478|0.85882354|0.9240506|0.89024395
91|74|12|1|6|0.8064516|0.8604651|0.925|0.8915662
92|75|12|1|6|0.80851066|0.86206895|0.9259259|0.89285713
93|76|12|1|6|0.8105263|0.8636364|0.9268293|0.89411765
94|77|12|1|6|0.8125|0.8651685|0.92771083|0.8953488
95|78|12|1|6|0.814433|0.8666667|0.9285714|0.8965517
96|79|12|1|6|0.81632656|0.8681319|0.92941177|0.89772725
97|80|12|1|6|0.8181818|0.8695652|0.9302326|0.89887637
98|80|12|1|7|0.81|0.8695652|0.9195402|0.89385474
99|81|12|1|7|0.8118812|0.87096775|0.92045456|0.8950276
100|82|12|1|7|0.8137255|0.87234044|0.92134833|0.8961749
101|82|12|1|8|0.80582523|0.87234044|0.9111111|0.8913044
102|82|12|1|9|0.7980769|0.87234044|0.9010989|0.8864865
103|82|12|1|10|0.7904762|0.87234044|0.8913044|0.8817204
104|83|12|1|10|0.7924528|0.8736842|0.8924731|0.8829787
105|84|12|1|10|0.7943925|0.875|0.89361703|0.8842105
106|84|12|1|11|0.787037|0.875|0.8842105|0.8795811
107|85|12|1|11|0.78899086|0.87628865|0.8854167|0.880829
108|86|12|1|11|0.7909091|0.877551|0.88659793|0.8820513
