 "nameObj" , "predicate" , "nameDom" ,
 "object" , "domain_category" , "grammar" ,
 "cell" , "domain_category" , "biological science" ,
 "cell" , "domain_category" , "biology" ,
 "cause" , "domain_category" , "law" ,
 "cause" , "domain_category" , "jurisprudence" ,
 "mortal" , "domain_category" , "theology" ,
 "mortal" , "domain_category" , "divinity" ,
 "flora" , "domain_category" , "phytology" ,
 "flora" , "domain_category" , "botany" ,
 "flora" , "domain_category" , "flora" ,
 "flora" , "domain_category" , "plant" ,
 "flora" , "domain_category" , "plant life" ,
 "plant" , "domain_category" , "phytology" ,
 "plant" , "domain_category" , "botany" ,
 "plant" , "domain_category" , "animal husbandry" ,
 "plant life" , "domain_category" , "phytology" ,
 "plant life" , "domain_category" , "botany" ,
 "article" , "domain_category" , "grammar" ,
 "article" , "domain_category" , "contract" ,
 "state" , "domain_category" , "chemistry" ,
 "state" , "domain_category" , "chemical science" ,
 "form" , "domain_category" , "biological science" ,
 "form" , "domain_category" , "biology" ,
 "form" , "domain_category" , "physical chemistry" ,
 "form" , "domain_category" , "linguistics" ,
 "infinite" , "domain_category" , "grammar" ,
 "space" , "domain_category" , "printing" ,
 "space" , "domain_category" , "printing process" ,
 "phase space" , "domain_category" , "natural philosophy" ,
 "phase space" , "domain_category" , "physics" ,
 "event" , "domain_category" , "relativity" ,
 "event" , "domain_category" , "relativity theory" ,
 "event" , "domain_category" , "Einstein's theory of relativity" ,
 "event" , "domain_category" , "theory of relativity" ,
 "process" , "domain_category" , "psychological science" ,
 "process" , "domain_category" , "psychology" ,
 "process" , "domain_category" , "law" ,
 "process" , "domain_category" , "jurisprudence" ,
 "act" , "domain_category" , "performing arts" ,
 "act" , "domain_category" , "law" ,
 "act" , "domain_category" , "jurisprudence" ,
 "act" , "domain_category" , "dramatics" ,
 "act" , "domain_category" , "theater" ,
 "act" , "domain_category" , "theatre" ,
 "act" , "domain_category" , "dramaturgy" ,
 "act" , "domain_category" , "dramatic art" ,
 "deed" , "domain_category" , "law" ,
 "deed" , "domain_category" , "jurisprudence" ,
 "group" , "domain_category" , "chemistry" ,
 "group" , "domain_category" , "chemical science" ,
 "relation" , "domain_category" , "law" ,
 "relation" , "domain_category" , "jurisprudence" ,
 "possession" , "domain_category" , "sport" ,
 "possession" , "domain_category" , "athletics" ,
 "quantity" , "domain_category" , "maths" ,
 "quantity" , "domain_category" , "math" ,
 "quantity" , "domain_category" , "mathematics" ,
 "measure" , "domain_category" , "prosody" ,
 "measure" , "domain_category" , "metrics" ,
 "measure" , "domain_category" , "law" ,
 "measure" , "domain_category" , "jurisprudence" ,
 "update" , "domain_category" , "computer technology" ,
 "alienation" , "domain_category" , "law" ,
 "alienation" , "domain_category" , "jurisprudence" ,
 "action" , "domain_category" , "armed forces" ,
 "action" , "domain_category" , "armed services" ,
 "action" , "domain_category" , "military machine" ,
 "action" , "domain_category" , "military" ,
 "action" , "domain_category" , "war machine" ,
 "action" , "domain_category" , "law" ,
 "action" , "domain_category" , "jurisprudence" ,
 "res gestae" , "domain_category" , "Latin" ,
 "res gestae" , "domain_category" , "law" ,
 "res gestae" , "domain_category" , "jurisprudence" ,
 "course" , "domain_category" , "game" ,
 "interaction" , "domain_category" , "natural philosophy" ,
 "interaction" , "domain_category" , "physics" ,
 "contact" , "domain_category" , "electronics" ,
 "traffic" , "domain_category" , "crime" ,
 "traffic" , "domain_category" , "law-breaking" ,
 "traffic" , "domain_category" , "criminal offense" ,
 "traffic" , "domain_category" , "criminal offence" ,
 "traffic" , "domain_category" , "commercialism" ,
 "traffic" , "domain_category" , "commerce" ,
 "traffic" , "domain_category" , "mercantilism" ,
 "play" , "domain_category" , "game" ,
 "play" , "domain_category" , "game" ,
 "play" , "domain_category" , "music" ,
 "play" , "domain_category" , "music" ,
 "play" , "domain_category" , "music" ,
 "play" , "domain_category" , "performing arts" ,
 "play" , "domain_category" , "performing arts" ,
 "play" , "domain_category" , "performing arts" ,
 "play" , "domain_category" , "drama" ,
 "play" , "domain_category" , "dramatics" ,
 "play" , "domain_category" , "theater" ,
 "play" , "domain_category" , "theatre" ,
 "play" , "domain_category" , "dramaturgy" ,
 "play" , "domain_category" , "dramatic art" ,
 "bowling" , "domain_category" , "cricket" ,
 "delivery" , "domain_category" , "ball" ,
 "delivery" , "domain_category" , "baseball game" ,
 "delivery" , "domain_category" , "baseball" ,
 "discovery" , "domain_category" , "law" ,
 "discovery" , "domain_category" , "jurisprudence" ,
 "disposal" , "domain_category" , "business" ,
 "disposal" , "domain_category" , "commercial enterprise" ,
 "disposal" , "domain_category" , "business enterprise" ,
 "hit" , "domain_category" , "ball" ,
 "hit" , "domain_category" , "baseball game" ,
 "hit" , "domain_category" , "baseball" ,
 "hit" , "domain_category" , "natural philosophy" ,
 "hit" , "domain_category" , "physics" ,
 "egress" , "domain_category" , "astronomy" ,
 "egress" , "domain_category" , "uranology" ,
 "mitsvah" , "domain_category" , "Judaism" ,
 "mitsvah" , "domain_category" , "Judaism" ,
 "mitzvah" , "domain_category" , "Judaism" ,
 "mitzvah" , "domain_category" , "Judaism" ,
 "rally" , "domain_category" , "tennis" ,
 "rally" , "domain_category" , "lawn tennis" ,
 "rally" , "domain_category" , "squash" ,
 "rally" , "domain_category" , "squash racquets" ,
 "rally" , "domain_category" , "squash rackets" ,
 "rally" , "domain_category" , "badminton" ,
 "rally" , "domain_category" , "table tennis" ,
 "rally" , "domain_category" , "Ping-Pong" ,
 "retrieval" , "domain_category" , "computing" ,
 "retrieval" , "domain_category" , "computer science" ,
 "stunt" , "domain_category" , "performing arts" ,
 "record" , "domain_category" , "photography" ,
 "record" , "domain_category" , "picture taking" ,
 "record" , "domain_category" , "transcription" ,
 "record" , "domain_category" , "recording" ,
 "record" , "domain_category" , "law" ,
 "record" , "domain_category" , "jurisprudence" ,
 "ingress" , "domain_category" , "astronomy" ,
 "ingress" , "domain_category" , "uranology" ,
 "registration" , "domain_category" , "music" ,
 "emersion" , "domain_category" , "astronomy" ,
 "emersion" , "domain_category" , "uranology" ,
 "return" , "domain_category" , "football" ,
 "return" , "domain_category" , "football game" ,
 "return" , "domain_category" , "American football game" ,
 "return" , "domain_category" , "American football" ,
 "retreat" , "domain_category" , "armed forces" ,
 "retreat" , "domain_category" , "armed services" ,
