N|TP|FP|FN|TN|Acuraccy|Precision|Recall|F-Measure
1|2|0|1|0|1.0|1.0|1.0|1.0
2|3|0|1|0|1.0|1.0|1.0|1.0
3|4|0|1|0|1.0|1.0|1.0|1.0
4|5|0|1|0|1.0|1.0|1.0|1.0
5|6|0|1|0|1.0|1.0|1.0|1.0
6|6|0|1|1|0.875|1.0|0.85714287|0.9230769
7|6|0|1|2|0.7777778|1.0|0.75|0.85714287
8|6|0|2|2|0.8|1.0|0.75|0.85714287
9|7|0|2|2|0.8181818|1.0|0.7777778|0.875
10|7|0|2|3|0.75|1.0|0.7|0.82352936
11|8|0|2|3|0.7692308|1.0|0.72727275|0.84210527
12|8|0|2|4|0.71428573|1.0|0.6666667|0.8
13|9|0|2|4|0.73333335|1.0|0.6923077|0.8181818
14|10|0|2|4|0.75|1.0|0.71428573|0.8333334
15|10|0|2|5|0.7058824|1.0|0.6666667|0.8
16|11|0|2|5|0.7222222|1.0|0.6875|0.8148148
17|11|0|2|6|0.68421054|1.0|0.64705884|0.7857143
18|11|0|2|7|0.65|1.0|0.6111111|0.7586207
19|11|0|3|7|0.6666667|1.0|0.6111111|0.7586207
20|11|0|4|7|0.6818182|1.0|0.6111111|0.7586207
21|11|0|4|8|0.65217394|1.0|0.57894737|0.73333335
22|11|0|4|9|0.625|1.0|0.55|0.70967746
23|12|0|4|9|0.64|1.0|0.5714286|0.72727275
24|13|0|4|9|0.65384614|1.0|0.59090906|0.74285716
25|13|0|4|10|0.6296296|1.0|0.5652174|0.7222222
26|14|0|4|10|0.64285713|1.0|0.5833333|0.7368421
27|14|0|4|11|0.62068963|1.0|0.56|0.71794873
28|15|0|4|11|0.6333333|1.0|0.5769231|0.7317073
29|15|0|5|11|0.6451613|1.0|0.5769231|0.7317073
30|16|0|5|11|0.65625|1.0|0.5925926|0.74418604
31|16|0|5|12|0.6363636|1.0|0.5714286|0.72727275
32|17|0|5|12|0.64705884|1.0|0.5862069|0.73913044
33|17|0|5|13|0.62857145|1.0|0.56666666|0.7234043
34|18|0|5|13|0.6388889|1.0|0.58064514|0.7346939
35|18|0|5|14|0.6216216|1.0|0.5625|0.72
36|18|0|6|14|0.6315789|1.0|0.5625|0.72
37|19|0|6|14|0.64102566|1.0|0.57575756|0.7307693
38|19|0|6|15|0.625|1.0|0.5588235|0.7169811
39|19|0|7|15|0.63414633|1.0|0.5588235|0.7169811
40|20|0|7|15|0.64285713|1.0|0.5714286|0.72727275
41|20|0|8|15|0.6511628|1.0|0.5714286|0.72727275
42|21|0|8|15|0.65909094|1.0|0.5833333|0.7368421
43|22|0|8|15|0.6666667|1.0|0.5945946|0.7457627
44|23|0|8|15|0.67391306|1.0|0.6052632|0.75409836
45|23|0|8|15|0.67391306|1.0|0.6052632|0.75409836
46|23|0|8|16|0.65957445|1.0|0.5897436|0.7419355
47|24|0|8|16|0.6666667|1.0|0.6|0.75
48|25|0|8|16|0.67346936|1.0|0.6097561|0.75757575
49|25|0|8|16|0.67346936|1.0|0.6097561|0.75757575
50|26|0|8|16|0.68|1.0|0.61904764|0.7647059
51|27|0|8|16|0.6862745|1.0|0.627907|0.7714285
52|27|0|8|17|0.6730769|1.0|0.6136364|0.7605634
53|28|0|8|17|0.6792453|1.0|0.62222224|0.76712334
54|28|0|8|18|0.6666667|1.0|0.6086956|0.7567567
55|29|0|8|18|0.6727273|1.0|0.61702126|0.76315784
56|30|0|8|18|0.6785714|1.0|0.625|0.7692308
57|31|0|8|18|0.68421054|1.0|0.63265306|0.77500004
58|31|0|8|19|0.67241377|1.0|0.62|0.7654321
59|31|0|8|20|0.66101694|1.0|0.60784316|0.75609756
60|31|0|8|21|0.65|1.0|0.59615386|0.74698794
61|32|0|8|21|0.6557377|1.0|0.6037736|0.7529412
62|33|0|8|21|0.66129035|1.0|0.6111111|0.7586207
63|34|0|8|21|0.6666667|1.0|0.6181818|0.76404494
64|34|0|8|22|0.65625|1.0|0.60714287|0.7555555
65|34|1|8|22|0.64615387|0.9714286|0.60714287|0.74725276
66|34|2|8|22|0.6363636|0.9444444|0.60714287|0.73913044
67|35|2|8|22|0.64179105|0.9459459|0.61403507|0.7446808
68|36|2|8|22|0.64705884|0.94736844|0.62068963|0.75
69|37|2|8|22|0.65217394|0.94871795|0.62711865|0.75510204
70|37|3|8|22|0.64285713|0.925|0.62711865|0.74747473
71|38|3|8|22|0.64788735|0.9268293|0.6333333|0.75247526
72|38|3|9|22|0.6527778|0.9268293|0.6333333|0.75247526
73|39|3|9|22|0.65753424|0.9285714|0.6393443|0.75728154
74|39|3|9|23|0.6486486|0.9285714|0.62903225|0.75000006
75|40|3|9|23|0.6533333|0.9302326|0.63492066|0.754717
76|40|3|9|24|0.6447368|0.9302326|0.625|0.7476636
77|41|3|9|24|0.64935064|0.9318182|0.63076925|0.7522935
78|41|4|9|24|0.64102566|0.9111111|0.63076925|0.7454546
79|41|4|9|25|0.6329114|0.9111111|0.6212121|0.7387387
80|42|4|9|25|0.6375|0.9130435|0.6268657|0.74336284
81|42|4|9|25|0.6375|0.9130435|0.6268657|0.74336284
82|43|4|9|25|0.6419753|0.9148936|0.63235295|0.7478261
83|44|4|9|25|0.64634144|0.9166667|0.6376812|0.75213677
84|44|4|9|26|0.6385542|0.9166667|0.62857145|0.74576277
85|45|4|9|26|0.64285713|0.9183673|0.63380283|0.75
86|45|4|9|27|0.63529414|0.9183673|0.625|0.7438016
87|45|4|9|28|0.627907|0.9183673|0.6164383|0.7377049
88|45|4|9|29|0.62068963|0.9183673|0.6081081|0.73170733
89|45|4|9|30|0.6136364|0.9183673|0.6|0.72580653
90|45|4|9|31|0.60674155|0.9183673|0.59210527|0.72
91|45|5|9|31|0.6|0.9|0.59210527|0.71428573
92|46|5|9|31|0.6043956|0.9019608|0.5974026|0.71874994
93|47|5|9|31|0.6086956|0.90384614|0.6025641|0.7230769
94|48|5|9|31|0.61290324|0.9056604|0.6075949|0.72727275
95|49|5|9|31|0.61702126|0.9074074|0.6125|0.7313432
96|50|5|9|31|0.6210526|0.90909094|0.61728394|0.73529416
97|50|5|9|32|0.6145833|0.90909094|0.6097561|0.729927
98|50|5|9|33|0.6082474|0.90909094|0.60240966|0.7246377
99|51|5|9|33|0.6122449|0.91071427|0.60714287|0.7285715
100|52|5|9|33|0.61616164|0.9122807|0.6117647|0.73239434
101|53|5|9|33|0.62|0.9137931|0.61627907|0.73611104
102|54|5|9|33|0.62376237|0.91525424|0.62068963|0.739726
103|55|5|9|33|0.627451|0.9166667|0.625|0.7432432
104|56|5|9|33|0.63106793|0.91803277|0.6292135|0.7466667
105|57|5|9|33|0.63461536|0.91935486|0.6333333|0.75
106|57|5|10|33|0.63809526|0.91935486|0.6333333|0.75
107|58|5|10|33|0.6415094|0.9206349|0.63736266|0.7532468
108|58|5|10|34|0.635514|0.9206349|0.6304348|0.7483871
109|59|5|10|34|0.6388889|0.921875|0.6344086|0.75159234
110|60|5|10|34|0.64220184|0.9230769|0.63829786|0.754717
